enriched_cluster	comparator_cluster	ensembl	gene	logFC	t_stat	p_value	fdr
VMH_1	VMH_2	ENSG00000006128	TAC1	1.23791224238978	6.24486246399007	1.00830940830528e-07	3.06729416644127e-07
VMH_2	VMH_1	ENSG00000007372	PAX6	2.04310768879069	21.3729335275989	2.26322066357542e-26	1.02410735026788e-24
VMH_2	VMH_1	ENSG00000008394	MGST1	1.78933516775431	17.9847071017259	3.95706012307148e-23	7.5392408660625e-22
VMH_1	VMH_2	ENSG00000009694	TENM1	1.96670782338124	16.67836487678	9.37691098518935e-22	1.54292808029025e-20
VMH_2	VMH_1	ENSG00000010282	HHATL	2.28917350364123	15.0905375667884	5.6134765078236e-20	7.25742319940051e-19
VMH_2	VMH_1	ENSG00000010610	CD4	0.692440036388911	4.19139906580116	0.000116506752128627	0.00024955884183765
VMH_2	VMH_1	ENSG00000011465	DCN	0.755463635726896	3.87918910101873	0.000314904200946338	0.000629808401892676
VMH_2	VMH_1	ENSG00000013297	CLDN11	0.605941390962286	3.40569879026261	0.00133178487999396	0.00247233911055289
VMH_1	VMH_2	ENSG00000026297	RNASET2	0.343406847117784	3.32650592262036	0.00168011568706435	0.00307172666018835
VMH_1	VMH_2	ENSG00000029534	ANK1	0.736757994148311	5.19038677514434	4.08204507361372e-06	1.01212350455354e-05
VMH_2	VMH_1	ENSG00000038427	VCAN	1.31573714720174	7.85901894310696	3.30113698436557e-10	1.24480373785452e-09
VMH_2	VMH_1	ENSG00000039068	CDH1	0.5418264034533	2.40714819583685	0.0199201631582511	0.030426578326105
VMH_1	VMH_2	ENSG00000041515	MYO16	0.706859062190274	5.56624225104939	1.10468170931336e-06	2.81616041388335e-06
VMH_2	VMH_1	ENSG00000042493	CAPG	1.06207354624188	6.04453519346848	2.05043416966066e-07	6.13435677204264e-07
VMH_2	VMH_1	ENSG00000048740	CELF2	0.147903230946357	1.76547230608072	0.0837626177065689	0.110664480327657
VMH_1	VMH_2	ENSG00000053108	FSTL4	0.423464263645149	4.51065925040761	4.09176402244204e-05	8.97708227953951e-05
VMH_1	VMH_2	ENSG00000053438	NNAT	0.651877820773304	5.92995970796739	3.07420378313824e-07	8.97469168948422e-07
VMH_1	VMH_2	ENSG00000054356	PTPRN	1.64590554732103	19.0689928995891	3.24761234517817e-24	9.04335129964998e-23
VMH_2	VMH_1	ENSG00000064270	ATP2C2	0.306080742721415	2.33346450303522	0.0238034232425731	0.0357545195593837
VMH_1	VMH_2	ENSG00000064989	CALCRL	0.771392888902906	3.84888283134166	0.000346220655846594	0.000688636689101467
VMH_2	VMH_1	ENSG00000066336	SPI1	0.444019523510962	3.50788456428551	0.00098292506492063	0.00186292603927366
VMH_2	VMH_1	ENSG00000066468	FGFR2	1.47792847425695	12.1729266559651	2.25101974862197e-16	1.54472863478079e-15
VMH_2	VMH_1	ENSG00000068078	FGFR3	2.71005182139152	23.9149423136003	1.5267627115105e-28	1.84229367188933e-26
VMH_2	VMH_1	ENSG00000069431	ABCC9	2.16113458504892	15.4526169962444	2.15372954495325e-20	2.88759294545584e-19
VMH_1	VMH_2	ENSG00000072315	TRPC5	1.41138603769522	8.56611580475745	2.80312809639437e-11	1.12748041210529e-10
VMH_2	VMH_1	ENSG00000076944	STXBP2	0.271021214208718	2.13628097166527	0.0377157494090274	0.0539648272176598
VMH_2	VMH_1	ENSG00000077942	FBLN1	2.27446011918119	18.6131160059052	9.16703780284137e-24	2.07404230289286e-22
VMH_1	VMH_2	ENSG00000077943	ITGA8	2.16806793821805	5.68197692521132	7.36246509313418e-07	1.94541048446319e-06
VMH_1	VMH_2	ENSG00000078328	RBFOX1	1.02779886186952	9.68290248719085	6.27972285390578e-13	2.9522852897583e-12
VMH_2	VMH_1	ENSG00000080815	PSEN1	0.449719227701264	7.00367603269765	6.79949069938048e-09	2.30038844222031e-08
VMH_2	VMH_1	ENSG00000081237	PTPRC	0.474177005658826	3.26661068999948	0.00199922226991145	0.00361859230853973
VMH_1	VMH_2	ENSG00000083750	RRAGB	0.529903427418248	5.76657711079312	5.46851315376321e-07	1.53457500904053e-06
VMH_1	VMH_2	ENSG00000089199	CHGB	2.04283843065368	20.8362817046885	6.91763909547804e-26	2.50418535256305e-24
VMH_1	VMH_2	ENSG00000091664	SLC17A6	1.95539080533236	17.9923081833712	3.88679340140739e-23	7.5392408660625e-22
VMH_1	VMH_2	ENSG00000091831	ESR1	0.791446153530609	3.80671240391359	0.000394832896804975	0.00077679080784457
VMH_2	VMH_1	ENSG00000092529	CAPN3	0.914559524898817	7.61158851146375	7.89114602560583e-10	2.91489271558093e-09
VMH_2	VMH_1	ENSG00000092969	TGFB2	1.72962950343252	13.0085342449487	1.87631602347213e-17	1.65664975730954e-16
VMH_1	VMH_2	ENSG00000095587	TLL2	1.84462473310355	9.10989594975925	4.33742981050703e-12	1.96268698925443e-11
VMH_1	VMH_2	ENSG00000095596	CYP26A1	0.907188255024662	2.45915378533382	0.0175329804602509	0.0273574953733226
VMH_2	VMH_1	ENSG00000095970	TREM2	0.671062706765385	3.24232562974536	0.00214428672499203	0.00384273165567879
VMH_1	VMH_2	ENSG00000099250	NRP1	1.40541829586188	11.304722177404	3.27261071172964e-15	2.00794080956971e-14
VMH_2	VMH_1	ENSG00000100146	SOX10	0.338437524649285	2.07952744229307	0.0428635140554648	0.0601418297987529
VMH_2	VMH_1	ENSG00000100354	TNRC6B	0.364495604841476	6.3503508739796	6.93414663558832e-08	2.16393196731291e-07
VMH_1	VMH_2	ENSG00000101180	HRH3	0.383178060901683	2.13018787737216	0.0382411522310433	0.0545011697151089
VMH_2	VMH_1	ENSG00000101200	AVP	0.655163752628988	1.799667585429	0.078118679683137	0.103585941557859
VMH_2	VMH_1	ENSG00000101405	OXT	0.72501060157482	2.92660051525829	0.00519738905249921	0.00879467208147839
VMH_1	VMH_2	ENSG00000101958	GLRA2	1.11410038018873	7.48019375971961	1.25526858305703e-09	4.49908145610541e-09
VMH_1	VMH_2	ENSG00000102287	GABRE	1.75327953078105	5.8331834365799	4.32515365530404e-07	1.24262351049211e-06
VMH_1	VMH_2	ENSG00000102468	HTR2A	1.2728599127634	8.3785743726129	5.36998052558291e-11	2.13619005523188e-10
VMH_2	VMH_1	ENSG00000102755	FLT1	0.700472866816842	3.76841052311204	0.000444631339197932	0.000870035377241359
VMH_1	VMH_2	ENSG00000102879	CORO1A	0.858401967099143	6.82579730030236	1.27950380746151e-08	4.21073071182788e-08
VMH_1	VMH_2	ENSG00000103154	NECAB2	0.71431028339939	7.92746541285054	2.59575693358803e-10	9.9964256378603e-10
VMH_1	VMH_2	ENSG00000103316	CRYM	1.36649318449409	8.0938669296466	1.4489518178466e-10	5.64000600065021e-10
VMH_2	VMH_1	ENSG00000103811	CTSH	1.34705627572589	9.96584079720983	2.45207476104053e-13	1.19952846418469e-12
VMH_1	VMH_2	ENSG00000103888	CEMIP	0.494058907709588	3.17620794064027	0.00259127927131652	0.00455360726318729
VMH_2	VMH_1	ENSG00000104888	SLC17A7	0.70177682320379	1.89114628779546	0.0645693765026959	0.088204204882928
VMH_2	VMH_1	ENSG00000105329	TGFB1	0.801797209506383	7.03427079092494	6.09923753259554e-09	2.0829471573581e-08
VMH_2	VMH_1	ENSG00000105695	MAG	0.497129485284625	3.25546297909728	0.00206462018763074	0.00371837068618074
VMH_2	VMH_1	ENSG00000105974	CAV1	0.587719845603725	2.06532096170751	0.0442442216926488	0.0618394141032389
VMH_1	VMH_2	ENSG00000106113	CRHR2	2.04483990119588	8.71481580760601	1.67794832248013e-11	6.8249134015484e-11
VMH_2	VMH_1	ENSG00000106278	PTPRZ1	1.4676585454766	14.9580346247047	8.00065754558626e-20	9.98702769483527e-19
VMH_2	VMH_1	ENSG00000106852	LHX6	0.522584120948625	2.42391817682415	0.0191201928894081	0.0293284314659566
VMH_2	VMH_1	ENSG00000107317	PTGDS	1.66493400096275	18.814963682597	5.77644036848288e-24	1.3940476089272e-22
VMH_2	VMH_1	ENSG00000107731	UNC5B	0.351795667685058	2.75587503624952	0.00821591866928783	0.0135189207194645
VMH_1	VMH_2	ENSG00000108018	SORCS1	0.962533729224649	5.79949309110062	4.87020021000868e-07	1.38819880001822e-06
VMH_2	VMH_1	ENSG00000110077	MS4A6A	0.666258558451375	3.05927779783905	0.00360378412878685	0.00621223740295639
VMH_1	VMH_2	ENSG00000111057	KRT18	1.13353150995529	11.499673859696	1.77900891840121e-15	1.15000219368078e-14
VMH_2	VMH_1	ENSG00000111799	COL12A1	0.532363499633204	2.38817571487782	0.0208614127261083	0.0317303840624001
VMH_1	VMH_2	ENSG00000111885	MAN1A1	1.19847231131544	9.70101361717034	5.91119991735345e-13	2.81559785537098e-12
VMH_1	VMH_2	ENSG00000112149	CD83	0.961349991281814	13.4949935100421	4.60103280429523e-18	4.50155101393209e-17
VMH_2	VMH_1	ENSG00000112799	LY86	0.681348084151571	1.46580234260766	0.149138624935608	0.187200057083588
VMH_1	VMH_2	ENSG00000112902	SEMA5A	0.747093141533627	7.50589111475289	1.14625092897485e-09	4.14942836288895e-09
VMH_2	VMH_1	ENSG00000113083	LOX	0.559310568188681	2.88224326669891	0.00586260606511067	0.00982529349800954
VMH_2	VMH_1	ENSG00000114013	CD86	0.619409839735971	1.99054350992416	0.0521669658591733	0.0720780215306135
VMH_2	VMH_1	ENSG00000114315	HES1	2.6798474200322	17.1443913821138	2.97145155211038e-22	5.12221648506646e-21
VMH_2	VMH_1	ENSG00000114805	PLCH1	0.924641271242027	6.40173335744357	5.77749484772415e-08	1.8186548998923e-07
VMH_1	VMH_2	ENSG00000115353	TACR1	0.71674343988478	4.78651378725127	1.62352936936457e-05	3.84129171052271e-05
VMH_1	VMH_2	ENSG00000115461	IGFBP5	0.918832607689401	4.96169277477363	8.95236404563109e-06	2.14619588378706e-05
VMH_2	VMH_1	ENSG00000115468	EFHD1	1.03891003372048	12.7975131940017	3.48459486127796e-17	2.80316297729472e-16
VMH_1	VMH_2	ENSG00000116678	LEPR	0.731089064284612	3.8875817025914	0.000306726791877888	0.000616861659221085
VMH_2	VMH_1	ENSG00000116824	CD2	0.613789936819441	2.2358708027864	0.0299832983837422	0.0437659436085269
VMH_1	VMH_2	ENSG00000117707	PROX1	0.394415468712502	2.44084472806063	0.0183422268743019	0.0283755817457149
VMH_1	VMH_2	ENSG00000118407	FILIP1	0.523961449045183	2.65262324377008	0.0107558002888182	0.0173821415381794
VMH_2	VMH_1	ENSG00000120708	TGFBI	0.757629111230521	1.86687286941947	0.0679540846270629	0.0921325042509242
VMH_2	VMH_1	ENSG00000120907	ADRA1A	0.512177967576863	4.52485730999062	3.90331566651866e-05	8.61585531268144e-05
VMH_2	VMH_1	ENSG00000121039	RDH10	0.869456801091218	2.93167282708436	0.0051259709168587	0.00875283713161721
VMH_2	VMH_1	ENSG00000121933	TMIGD3	0.652527768906159	4.01058336484719	0.000208016350867202	0.000430296680079584
VMH_2	VMH_1	ENSG00000121966	CXCR4	2.41171209229943	14.0078359212601	1.0793689350767e-18	1.08536542916046e-17
VMH_1	VMH_2	ENSG00000122254	HS3ST2	1.12907610397049	5.96462241968044	2.7199351126145e-07	8.07062713742992e-07
VMH_1	VMH_2	ENSG00000123612	ACVR1C	0.978880438701825	5.72922601666201	6.23626466639617e-07	1.69738933025219e-06
VMH_1	VMH_2	ENSG00000124089	MC3R	1.17380412640313	5.75316454119933	5.73275568817839e-07	1.59635196855429e-06
VMH_1	VMH_2	ENSG00000124766	SOX4	0.75151354900245	7.16275312363715	3.86513411122876e-09	1.33255099834744e-08
VMH_2	VMH_1	ENSG00000125148	MT2A	2.12565509694524	5.45018031541844	1.65704588724131e-06	4.16562924431496e-06
VMH_2	VMH_1	ENSG00000125398	SOX9	2.87950962232619	20.4546723803127	1.55292201762768e-25	5.11052518528381e-24
VMH_1	VMH_2	ENSG00000125869	LAMP5	1.24227474684987	9.07907508412024	4.81745953505781e-12	2.12894351738607e-11
