clust	ensembl	gene	logFC	t_stat	p_value	fdr
ARC_1	ENSG00000003137	CYP26B1	0.71054840669239	5.46622366757212	8.07673298798151e-07	1.67493721570919e-05
ARC_1	ENSG00000006128	TAC1	1.05874837467129	3.09109518814247	0.00295086929541029	0.013987886919802
ARC_1	ENSG00000009694	TENM1	0.680510162436035	2.81568565525538	0.00646108780966602	0.0224377357712036
ARC_1	ENSG00000029534	ANK1	0.222579679216265	1.28211919522404	0.204421628813107	0.309601222061345
ARC_1	ENSG00000041515	MYO16	0.324495626226222	1.99742828898885	0.0500297165155222	0.104945716997547
ARC_1	ENSG00000047936	ROS1	0.1502600090893	0.449589596361964	0.654524029430062	0.761948918480565
ARC_1	ENSG00000053108	FSTL4	0.425095440455388	1.90791365696214	0.0608866695636129	0.121440625085895
ARC_1	ENSG00000054356	PTPRN	0.725257893255137	3.64012200515208	0.000545982416632971	0.0039075212170791
ARC_1	ENSG00000064989	CALCRL	0.400870904011498	2.83443902577507	0.0061340687386551	0.0219503440157756
ARC_1	ENSG00000072315	TRPC5	0.837976114478841	4.97177586184816	5.2436788605553e-06	7.62233153179832e-05
ARC_1	ENSG00000072657	TRHDE	0.126729367039743	0.895688274128692	0.373772830861779	0.490744903829314
ARC_1	ENSG00000076944	STXBP2	0.100595709351935	0.344415357116909	0.731662104308213	0.818335798716491
ARC_1	ENSG00000077943	ITGA8	0.908360114050978	4.14083927451071	0.000103179047269171	0.00089667505364875
ARC_1	ENSG00000078328	RBFOX1	0.0168557699461172	0.121262720679524	0.903862534332139	0.94259950008923
ARC_1	ENSG00000083750	RRAGB	0.312111180676102	4.18641752486687	8.81889230826045e-05	0.000785096510369528
ARC_1	ENSG00000089199	CHGB	0.601793342659454	2.67979684315028	0.00935332887493829	0.0299137467112222
ARC_1	ENSG00000091664	SLC17A6	0.807909702338088	2.10044160343296	0.039631941651891	0.0887463724106761
ARC_1	ENSG00000095596	CYP26A1	1.47334714329653	4.94300316552684	5.83524785427063e-06	7.8883906178103e-05
ARC_1	ENSG00000099250	NRP1	0.586164505557644	2.92113094913509	0.00481151989482577	0.0182937996001188
ARC_1	ENSG00000100354	TNRC6B	0.0622275446210228	0.795739712427148	0.429122296578136	0.549577678073753
ARC_1	ENSG00000100362	PVALB	0.0343023837753817	0.1057300994795	0.9161268978224	0.94996112984425
ARC_1	ENSG00000101180	HRH3	0.282353976118548	2.10187836379024	0.0395013028613804	0.0887463724106761
ARC_1	ENSG00000101958	GLRA2	0.175569988216861	0.65595472516726	0.514202525395771	0.640878411532631
ARC_1	ENSG00000102287	GABRE	1.2168250501799	5.60979310845613	4.642440742346e-07	1.150209469077e-05
ARC_1	ENSG00000102468	HTR2A	0.220045948266001	0.835766552988911	0.40639292860624	0.52414635668296
ARC_1	ENSG00000102879	CORO1A	0.249007664127928	1.47305829890184	0.145632327299064	0.241617270291628
ARC_1	ENSG00000103154	NECAB2	0.213546495151811	1.03130128997778	0.306277742467171	0.426684641223349
ARC_1	ENSG00000103316	CRYM	0.333329724213704	0.895879156817452	0.373671638977146	0.490744903829314
ARC_1	ENSG00000103888	CEMIP	0.387949380635118	2.31901661843045	0.0235957418602598	0.0602268935594045
ARC_1	ENSG00000106113	CRHR2	0.196550158178601	0.585724987695363	0.560118381438928	0.682298090532151
ARC_1	ENSG00000106536	POU6F2	0.470342545230677	1.74017506463669	0.0866305991923192	0.157314272165157
ARC_1	ENSG00000106852	LHX6	0.0274571974843444	0.07039177915822	0.94410113320823	0.970695531326771
ARC_1	ENSG00000108018	SORCS1	0.747318564329331	4.13087950589273	0.000106768058334687	0.000906287006794432
ARC_1	ENSG00000111057	KRT18	0.085205345998872	0.513968505680415	0.609042538432534	0.726472308914624
