phenotype	Br1225_VMH_ARC	Br1735_VMH_ARC	Br6588_VMH_ARC	Br8741_VMH_ARC	Br5459_VMH_ARC	Br5993_VMH_ARC	Br8667_VMH_ARC	Br6197_VMH_ARC	dom	maletot	femtot	maleprop	femprop
NPY+ CRHR2+ NR5A1+ CYP26A1+	1	1	3	0	0	0	0	0	VMH	2	3	6.87994496044032e-05	0.000130793041810176
NPY+ CRHR2+ NR5A1+ CYP26A1-	0	0	0	1	0	0	0	0	VMH	0	1	0	4.35976806033919e-05
NPY+ CRHR2+ NR5A1- CYP26A1+	0	1	4	0	0	0	0	0	VMH	1	4	3.43997248022016e-05	0.000174390722413568
NPY+ CRHR2+ NR5A1- CYP26A1-	2	1	2	1	0	0	0	0	VMH	3	3	0.000103199174406605	0.000130793041810176
NPY+ CRHR2- NR5A1+ CYP26A1+	1	2	0	0	0	0	0	0	VMH	3	0	0.000103199174406605	0
NPY+ CRHR2- NR5A1+ CYP26A1-	0	0	1	0	0	0	0	0	VMH	0	1	0	4.35976806033919e-05
NPY+ CRHR2- NR5A1- CYP26A1+	3	3	2	0	7	1	0	0	VMH	13	3	0.000447196422428621	0.000130793041810176
NPY+ CRHR2- NR5A1- CYP26A1-	31	31	46	13	0	17	3	0	VMH	62	79	0.0021327829377365	0.00344421676766796
NPY- CRHR2+ NR5A1+ CYP26A1+	242	368	466	159	58	16	0	50	VMH	718	641	0.0246990024079807	0.0279461132667742
NPY- CRHR2+ NR5A1+ CYP26A1-	101	279	516	221	3	12	25	345	VMH	728	774	0.0250429996560028	0.0337446047870253
NPY- CRHR2+ NR5A1- CYP26A1+	228	74	173	36	98	118	16	93	VMH	493	343	0.0169590643274854	0.0149540044469634
NPY- CRHR2+ NR5A1- CYP26A1-	129	99	292	75	12	192	257	1382	VMH	1622	816	0.055796353629171	0.0355757073723678
NPY- CRHR2- NR5A1+ CYP26A1+	76	189	89	110	161	13	3	17	VMH	443	215	0.0152390780873753	0.00937350132972926
NPY- CRHR2- NR5A1+ CYP26A1-	160	270	393	355	25	17	37	127	VMH	582	802	0.0200206398348813	0.0349653398439203
NPY- CRHR2- NR5A1- CYP26A1+	367	184	292	153	616	214	25	63	VMH	1230	684	0.042311661506708	0.0298208135327201
NPY- CRHR2- NR5A1- CYP26A1-	4780	5382	6671	5630	3193	3683	2584	9815	VMH	23170	18568	0.797041623667011	0.809521733443781
NPY+ CRHR2+ NR5A1- CYP26A1+	1	15	2	0	0	0	0	0	ARC	16	2	0.000752764055516349	8.66363439462855e-05
NPY+ CRHR2+ NR5A1- CYP26A1-	1	10	1	0	0	1	0	1	ARC	12	2	0.000564573041637262	8.66363439462855e-05
NPY+ CRHR2- NR5A1+ CYP26A1+	0	1	0	0	0	0	0	0	ARC	1	0	4.70477534697718e-05	0
NPY+ CRHR2- NR5A1- CYP26A1+	54	41	81	19	45	8	0	0	ARC	140	108	0.00658668548576805	0.00467836257309942
NPY+ CRHR2- NR5A1- CYP26A1-	234	61	399	344	2	456	76	19	ARC	316	1275	0.0148670900964479	0.055230669265757
NPY- CRHR2+ NR5A1+ CYP26A1+	6	4	2	2	7	0	0	2	ARC	19	4	0.000893907315925665	0.000173272687892571
NPY- CRHR2+ NR5A1+ CYP26A1-	48	2	4	4	0	3	5	4	ARC	54	16	0.00254057868736768	0.000693090751570284
NPY- CRHR2+ NR5A1- CYP26A1+	28	101	40	9	98	2	4	12	ARC	239	55	0.0112444130792755	0.00238249945852285
NPY- CRHR2+ NR5A1- CYP26A1-	75	90	154	116	14	45	94	252	ARC	431	409	0.0202775817454717	0.0177171323370154
NPY- CRHR2- NR5A1+ CYP26A1+	2	23	3	3	7	0	0	1	ARC	33	6	0.00155257586450247	0.000259909031838856
NPY- CRHR2- NR5A1+ CYP26A1-	5	14	9	15	1	0	6	24	ARC	44	30	0.00207010115266996	0.00129954515919428
NPY- CRHR2- NR5A1- CYP26A1+	584	362	977	416	1348	164	3	87	ARC	2381	1560	0.112020701011527	0.0675763482781027
NPY- CRHR2- NR5A1- CYP26A1-	4630	3701	6358	6450	2283	4542	2268	6955	ARC	17569	19618	0.826581980710421	0.849815897769114
