NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
EDN3	1	EDN3	
WIF1	1	WIF1	
CRYM	1	CRYM	
RAX	1	RAX	
PLVAP	1	PLVAP	
MGP	1	MGP	
FRZB	1	FRZB	
SPAG6	1	SPAG6	
CYSLTR2	1	CYSLTR2	
CRLF1	1	CRLF1	
SFTA3	1	SFTA3	
HOATZ	1	C11orf88	
IGFBP6	1	IGFBP6	
TBX3	1	TBX3	
IGFBP2	1	IGFBP2	
SLCO2A1	1	SLCO2A1	
COL1A2	1	COL1A2	
TRDN	1	TRDN	
SPATA18	1	SPATA18	
MOXD1	1	MOXD1	
TBX2	1	TBX2	
DCN	1	DCN	
CCL14	1	CCL14	
MMRN1	1	MMRN1	
NGFR	1	NGFR	
VIM	1	VIM	
OGN	1	OGN	
ANXA1	1	ANXA1	
OAF	1	OAF	
ANGPTL1	1	ANGPTL1	
FAM20A	1	FAM20A	
SLC16A4	1	SLC16A4	
PAPLN	1	PAPLN	
SGMS2	1	SGMS2	
ADGRV1	1	ADGRV1	
LTBP2	1	LTBP2	
ISLR	1	ISLR	
NXPH3	1	NXPH3	
AGTR1	1	AGTR1	
CFAP161	1	CFAP161	
TEKT1	1	TEKT1	
LUM	1	LUM	
WDR38	1	WDR38	
CFAP73	1	CFAP73	
C7	1	C7	
PODN	1	PODN	
COL3A1	1	COL3A1	
CD93	1	CD93	
SLC27A6	1	SLC27A6	
IRF6	1	IRF6	
CALCRL	1	CALCRL	
PALMD	1	PALMD	
SOD3	1	SOD3	
FOLR1	1	FOLR1	
TRBC2	1	TRBC2	
COL6A2	1	COL6A2	
MAP3K19	1	MAP3K19	
LHX2	1	LHX2	
HSPG2	1	HSPG2	
FAM81B	1	FAM81B	
TLR2	1	TLR2	
MSTN	1	MSTN	
PRELP	1	PRELP	
LSP1	1	LSP1	
HSPB7	1	HSPB7	
TCF7	1	TCF7	
TTC29	1	TTC29	
MFAP2	1	MFAP2	
TIMP1	1	TIMP1	
SVIL	1	SVIL	
LRIG3	1	LRIG3	
CFAP77	1	CFAP77	
ALK	1	ALK	
IGFBP4	1	IGFBP4	
TTR	1	TTR	
C7orf57	1	C7orf57	
CYP1B1	1	CYP1B1	
MIA	1	MIA	
MAMDC2	1	MAMDC2	
FZD5	1	FZD5	
NEDD9	1	NEDD9	
KDELR3	1	KDELR3	
FMOD	1	FMOD	
CFAP45	1	CFAP45	
CFH	1	CFH	
GPC3	1	GPC3	
BHLHE22	1	BHLHE22	
PCOLCE	1	PCOLCE	
COL15A1	1	COL15A1	
FHL2	1	FHL2	
CFHR1	1	CFHR1	
C1R	1	C1R	
LAMA2	1	LAMA2	
COL8A1	1	COL8A1	
PROCR	1	PROCR	
ASPN	1	ASPN	
PAX2	1	PAX2	
LAMC3	1	LAMC3	
CLXN	1	EFCAB1	
CFAP157	1	CFAP157	
RGR	1	RGR	
IGKC	1	IGKC	
LAIR2	1	LAIR2	
TBX2-AS1	1	TBX2-AS1	
ECSCR	1	ECSCR	
TGFBI	1	TGFBI	
CFAP97D2	1	CFAP97D2	
CRISPLD2	1	CRISPLD2	
CNN2	1	CNN2	
CAV1	1	CAV1	
BST2	1	BST2	
NKX2-1	1	NKX2-1	
CTSC	1	CTSC	
RHOJ	1	RHOJ	
CFI	1	CFI	
MYH11	1	MYH11	
ARMC3	1	ARMC3	
KDR	1	KDR	
TXNIP	1	TXNIP	
VWF	1	VWF	
F13A1	1	F13A1	
SPON2	1	SPON2	
RMST	1	RMST	
RASEF	1	RASEF	
CPVL	1	CPVL	
CLIC6	1	CLIC6	
CXCL10	1	CXCL10	
HFE	1	HFE	
ACVRL1	1	ACVRL1	
EMILIN1	1	EMILIN1	
IGFBP3	1	IGFBP3	
RARB	1	RARB	
WFIKKN2	1	WFIKKN2	
TNFRSF19	1	TNFRSF19	
RDH10	1	RDH10	
TEX15	1	TEX15	
CFAP276	1	C1orf194	
RHOD	1	RHOD	
FZD7	1	FZD7	
CDC14A	1	CDC14A	
ERBB2	1	ERBB2	
PDLIM1	1	PDLIM1	
HLA-DQA1	1	HLA-DQA1	
MSX1	1	MSX1	
COL4A2	1	COL4A2	
ITGA1	1	ITGA1	
EHHADH	1	EHHADH	
GIMAP7	1	GIMAP7	
TCIM	1	TCIM	
CCDC39	1	CCDC39	
PLA2R1	1	PLA2R1	
LINC02200	1	LINC02200	
CSRP2	1	CSRP2	
CXCL12	1	CXCL12	
THBS1	1	THBS1	
PLEKHA4	1	PLEKHA4	
CTSK	1	CTSK	
TLL1	1	TLL1	
CCDC170	1	CCDC170	
COX4I2	1	COX4I2	
TSKU	1	TSKU	
MFAP4	1	MFAP4	
WDR86	1	WDR86	
NLRC5	1	NLRC5	
ZBBX	1	ZBBX	
LGR6	1	LGR6	
ALDH3B1	1	ALDH3B1	
HLA-DRB1	1	HLA-DRB1	
TNFSF10	1	TNFSF10	
DIO2	1	DIO2	
ABCA8	1	ABCA8	
SAMD9L	1	SAMD9L	
FAT3	1	FAT3	
VSIG4	1	VSIG4	
CTSS	1	CTSS	
A4GALT	1	A4GALT	
CFAP126	1	CFAP126	
PIH1D2	1	PIH1D2	
LRRC32	1	LRRC32	
TFEC	1	TFEC	
GBP3	1	GBP3	
MSR1	1	MSR1	
FCGBP	1	FCGBP	
MYOF	1	MYOF	
EMX2OS	1	EMX2OS	
HLA-DRA	1	HLA-DRA	
STAT6	1	STAT6	
CYTL1	1	CYTL1	
RBM47	1	RBM47	
C2orf73	1	C2orf73	
ST3GAL1	1	ST3GAL1	
PLEKHG1	1	PLEKHG1	
CAV2	1	CAV2	
CBR3-AS1	1	CBR3-AS1	
STRIP2	1	STRIP2	
SLC16A9	1	SLC16A9	
LMCD1	1	LMCD1	
DYNLRB2	1	DYNLRB2	
GPX8	1	GPX8	
COL4A6	1	COL4A6	
CCL5	1	CCL5	
ZFP36	1	ZFP36	
MNS1	1	MNS1	
CCL19	1	CCL19	
EDNRB	1	EDNRB	
ENG	1	ENG	
ANG	1	ANG	
ANO6	1	ANO6	
SPAG8	1	SPAG8	
CFAP43	1	CFAP43	
PKDCC	1	PKDCC	
GNG5	1	GNG5	
ELOVL2	1	ELOVL2	
METTL7B	1	METTL7B	
LRRIQ1	1	LRRIQ1	
AVPR1A	1	AVPR1A	
CPED1	1	CPED1	
STON1	1	STON1	
COL4A1	1	COL4A1	
CDKN2B	1	CDKN2B	
ECRG4	1	ECRG4	
FKBP5	1	FKBP5	
EFCAB10	1	EFCAB10	
SMAD6	1	SMAD6	
CCND1	1	CCND1	
COL1A1	1	COL1A1	
TGIF2	1	TGIF2	
GALNT12	1	GALNT12	
CLEC3B	1	CLEC3B	
PPP1R42	1	PPP1R42	
BTNL9	1	BTNL9	
FOXF2	1	FOXF2	
DNAI3	1	WDR63	
DNAI1	1	DNAI1	
MEGF10	1	MEGF10	
MTMR11	1	MTMR11	
S100A11	1	S100A11	
ACTA2	1	ACTA2	
CDH5	1	CDH5	
HIC1	1	HIC1	
UNC93B1	1	UNC93B1	
RGS5	1	RGS5	
SLC2A4	1	SLC2A4	
RNASE4	1	RNASE4	
GSDMD	1	GSDMD	
ATOH8	1	ATOH8	
EFCAB12	1	EFCAB12	
SIX3-AS1	1	SIX3-AS1	
MRC2	1	MRC2	
MORN5	1	MORN5	
DNAI4	1	WDR78	
NOSTRIN	1	NOSTRIN	
HS3ST1	1	HS3ST1	
ITPRIP	1	ITPRIP	
IL32	1	IL32	
FOXJ1	1	FOXJ1	
NTN4	1	NTN4	
LINC01354	1	LINC01354	
TMEM204	1	TMEM204	
FGFRL1	1	FGFRL1	
CRIP1	1	CRIP1	
BICC1	1	BICC1	
PLIN2	1	PLIN2	
IRF7	1	IRF7	
FCGRT	1	FCGRT	
STK33	1	STK33	
CHST9	1	CHST9	
FGL2	1	FGL2	
HLA-DPA1	1	HLA-DPA1	
GXYLT2	1	GXYLT2	
CFAP52	1	CFAP52	
THSD4	1	THSD4	
GRIK3	1	GRIK3	
MXRA8	1	MXRA8	
RIBC1	1	RIBC1	
COL25A1	1	COL25A1	
ROBO4	1	ROBO4	
MRGPRF	1	MRGPRF	
TNFRSF10B	1	TNFRSF10B	
ACOX2	1	ACOX2	
FZD6	1	FZD6	
C1S	1	C1S	
RAB27A	1	RAB27A	
LAMB2	1	LAMB2	
ANXA4	1	ANXA4	
CA4	1	CA4	
OAS3	1	OAS3	
TAGLN	1	TAGLN	
SFRP4	1	SFRP4	
C5AR1	1	C5AR1	
ECM2	1	ECM2	
SPEF1	1	SPEF1	
TEAD2	1	TEAD2	
FZD2	1	FZD2	
MFAP5	1	MFAP5	
MYL9	1	MYL9	
SPATS2L	1	SPATS2L	
OLFML3	1	OLFML3	
S100A4	1	S100A4	
IGFBP7	1	IGFBP7	
C6orf118	1	C6orf118	
CAVIN2	1	CAVIN2	
GLI3	1	GLI3	
FAM183A	1	FAM183A	
PECAM1	1	PECAM1	
TGFB2	1	TGFB2	
FLT1	1	FLT1	
RBP1	1	RBP1	
HYDIN	1	HYDIN	
ISG20	1	ISG20	
MT1H	1	MT1H	
MAP7D3	1	MAP7D3	
ADAMTS18	1	ADAMTS18	
PPP1R17	1	PPP1R17	
EFNB1	1	EFNB1	
LRRC46	1	LRRC46	
S100A9	1	S100A9	
GIMAP5	1	GIMAP5	
S100A8	1	S100A8	
RSPH4A	1	RSPH4A	
ZNF217	1	ZNF217	
B3GALT1	1	B3GALT1	
NOTCH2	1	NOTCH2	
COL14A1	1	COL14A1	
MDFIC	1	MDFIC	
ZNF114	1	ZNF114	
ODF3B	1	ODF3B	
MT1X	1	MT1X	
LEF1	1	LEF1	
EMP1	1	EMP1	
CCN1	1	CCN1	
NMI	1	NMI	
SERPINH1	1	SERPINH1	
GIMAP8	1	GIMAP8	
LPAR3	1	LPAR3	
GPC6	1	GPC6	
AIF1L	1	AIF1L	
TGFB1I1	1	TGFB1I1	
SQOR	1	SQOR	
A2M	1	A2M	
SPATA17	1	SPATA17	
ALPK1	1	ALPK1	
MS4A6A	1	MS4A6A	
SLCO1C1	1	SLCO1C1	
TPM2	1	TPM2	
ADGRA2	1	ADGRA2	
MMP2	1	MMP2	
RGL3	1	RGL3	
DCT	1	DCT	
GSN	1	GSN	
SLC49A3	1	SLC49A3	
HEG1	1	HEG1	
TESC	1	TESC	
SLC39A4	1	SLC39A4	
PCAT19	1	PCAT19	
PTK7	1	PTK7	
PKP2	1	PKP2	
FYCO1	1	FYCO1	
RUNX1	1	RUNX1	
FANK1	1	FANK1	
ADAMTSL1	1	ADAMTSL1	
NFATC1	1	NFATC1	
ETV1	1	ETV1	
SCGB1D2	1	SCGB1D2	
ADGRL2	1	ADGRL2	
NR4A1	1	NR4A1	
TRIM22	1	TRIM22	
EHD4	1	EHD4	
ECHDC3	1	ECHDC3	
B3GNT9	1	B3GNT9	
IQCG	1	IQCG	
CD4	1	CD4	
GATA2	1	GATA2	
FCGR2A	1	FCGR2A	
IFITM2	1	IFITM2	
ABHD12B	1	ABHD12B	
LPIN3	1	LPIN3	
PPP1R32	1	PPP1R32	
HBA2	1	HBA2	
STAB1	1	STAB1	
CELSR1	1	CELSR1	
COL22A1	1	COL22A1	
PCDHB7	1	PCDHB7	
CA12	1	CA12	
ERAP2	1	ERAP2	
C1orf162	1	C1orf162	
LYZ	1	LYZ	
SHE	1	SHE	
CUBN	1	CUBN	
COL8A2	1	COL8A2	
ITIH2	1	ITIH2	
OAS2	1	OAS2	
GNA14	1	GNA14	
DNAI7	1	CASC1	
TRIP6	1	TRIP6	
TMEM35B	1	TMEM35B	
ERBB4	1	ERBB4	
ZMYND10	1	ZMYND10	
CD74	1	CD74	
PYGL	1	PYGL	
PIFO	1	PIFO	
YAP1	1	YAP1	
CD52	1	CD52	
SHROOM3	1	SHROOM3	
FN1	1	FN1	
HLA-DPB1	1	HLA-DPB1	
CASP1	1	CASP1	
NT5E	1	NT5E	
CFAP53	1	CFAP53	
COL5A2	1	COL5A2	
GALNT3	1	GALNT3	
LAMA4	1	LAMA4	
MYH9	1	MYH9	
IFITM1	1	IFITM1	
ADGRF5	1	ADGRF5	
KIRREL1	1	KIRREL1	
FABP4	1	FABP4	
CHI3L1	1	CHI3L1	
UNC13D	1	UNC13D	
NBPF19	1	NBPF19	
KLF2	1	KLF2	
RELL1	1	RELL1	
F10	1	F10	
RBPMS	1	RBPMS	
PTPRT	1	PTPRT	
SPRY1	1	SPRY1	
GPR88	1	GPR88	
PTBP1	1	PTBP1	
COL5A1	1	COL5A1	
VILL	1	VILL	
VWA3B	1	VWA3B	
EMCN	1	EMCN	
AKR1C3	1	AKR1C3	
ANTXR2	1	ANTXR2	
GPR4	1	GPR4	
NEDD1	1	NEDD1	
HTRA3	1	HTRA3	
MEDAG	1	MEDAG	
SERPINI2	1	SERPINI2	
CASQ2	1	CASQ2	
DNAAF3	1	DNAAF3	
FRMD6	1	FRMD6	
SNHG25	1	SNHG25	
PDZRN4	1	PDZRN4	
SLC40A1	1	SLC40A1	
P2RY1	1	P2RY1	
AVIL	1	AVIL	
C19orf18	1	C19orf18	
TMEM88	1	TMEM88	
DNAH6	1	DNAH6	
FCER1G	1	FCER1G	
CCDC40	1	CCDC40	
PTPRB	1	PTPRB	
IFI35	1	IFI35	
LTBR	1	LTBR	
CFAP44	1	CFAP44	
IFI44L	1	IFI44L	
YTHDF3-DT	1	YTHDF3-AS1	
NKG7	1	NKG7	
FBP1	1	FBP1	
FZD4	1	FZD4	
SNTB1	1	SNTB1	
LIMD1	1	LIMD1	
ETS1	1	ETS1	
ADAMTS1	1	ADAMTS1	
CFAP57	1	CFAP57	
GIMAP4	1	GIMAP4	
OCLN	1	OCLN	
PDGFRL	1	PDGFRL	
CP	1	CP	
DSP	1	DSP	
MDK	1	MDK	
CD48	1	CD48	
PLBD1	1	PLBD1	
G0S2	1	G0S2	
HLA-DRB5	1	HLA-DRB5	
IFI27	1	IFI27	
MARVELD2	1	MARVELD2	
EGFLAM	1	EGFLAM	
ITIH5	1	ITIH5	
LRP5	1	LRP5	
FBLN2	1	FBLN2	
SLC1A5	1	SLC1A5	
ITGA2	1	ITGA2	
HBB	1	HBB	
RAB11FIP1	1	RAB11FIP1	
EPHA3	1	EPHA3	
LPAR6	1	LPAR6	
PARP9	1	PARP9	
CLEC14A	1	CLEC14A	
TGIF1	1	TGIF1	
CCDC148	1	CCDC148	
GABRE	1	GABRE	
GIMAP1	1	GIMAP1	
GNG11	1	GNG11	
LAIR1	1	LAIR1	
ACADL	1	ACADL	
HLA-DOA	1	HLA-DOA	
TMEM123	1	TMEM123	
GYPC	1	GYPC	
DMGDH	1	DMGDH	
NAB1	1	NAB1	
FCGR3A	1	FCGR3A	
WDR49	1	WDR49	
TLE6	1	TLE6	
C10orf105	1	C10orf105	
FKBP10	1	FKBP10	
CLIC5	1	CLIC5	
ICAM1	1	ICAM1	
CFAP95	1	C9orf135	
CFAP299	1	CFAP299	
RBMS2	1	RBMS2	
LMOD1	1	LMOD1	
SPON1	1	SPON1	
LANCL3	1	LANCL3	
BGN	1	BGN	
COL16A1	1	COL16A1	
ALPL	1	ALPL	
RPH3AL	1	RPH3AL	
ITGB2	1	ITGB2	
TBX19	1	TBX19	
CLDN10	1	CLDN10	
MFNG	1	MFNG	
SMAD3	1	SMAD3	
TRIM34	1	TRIM34	
PAXIP1-AS2	1	PAXIP1-AS2	
TLR7	1	TLR7	
THBD	1	THBD	
LINC01088	1	LINC01088	
COL4A5	1	COL4A5	
B4GALT1	1	B4GALT1	
TAF1A-AS1	1	TAF1A-AS1	
GPR183	1	GPR183	
TSPAN15	1	TSPAN15	
IL4R	1	IL4R	
ATP13A4	1	ATP13A4	
GJA4	1	GJA4	
OAS1	1	OAS1	
TRIM5	1	TRIM5	
SP100	1	SP100	
LPAR4	1	LPAR4	
