,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1 -- astrocytes,,F > M,,F < M,,F < M,F < M,,F > M,F > M,F > M,,,F > M
cluster 2 -- likely more than one cell types,,,,,,,,F < M,,,F > M,,,
cluster 3 -- myelinating oligodendrocytes,F < M,F > M,,,,,,F < M,F > M,,,F < M,,
cluster 4 -- microglia,,F > M,F < M,F < M,,F < M,F < M,F < M,F < M,F < M,,F < M,,
cluster 5 -- ,F < M,F > M,F < M,F < M,F < M,F > M,F < M,F < M,,F > M,F > M,F < M,F < M,
cluster 6 -- oligodendrocyte precursor,F > M,F > M,F < M,,F < M,,F < M,F < M,F < M,,,F < M,,F > M
cluster 7 -- immune related,,,,,,,F > M,,F < M,,,F < M,,
cluster 8 -- epithelial cells,F > M,F > M,F > M,F < M,,,,,,,,F < M,,F < M
cluster 9 -- astrocytes,F > M,F > M,,F < M,,F < M,F > M,,F < M,F < M,F < M,,,F < M
cluster 10 -- excitatory neurons,F > M,F > M,F < M,,F < M,F < M,F < M,F < M,F < M,F < M,F < M,F < M,,
cluster 11 -- ,,F > M,F < M,,,,F > M,F > M,,F > M,,,F > M,
cluster 12 -- POMC neuronal cells,,,,,,F > M,,F < M,,,,,F < M,
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,,,F < M,,F < M,,,F < M,F < M,F < M,,F < M,,F > M
cluster 14 -- epithelial cells,,,,,F < M,,,,,,,,,
cluster 15 -- ,,,,,,F < M,,,,,,,,
cluster 16 -- ,,F > M,,,F < M,F < M,,,,,,,,
cluster 17 -- T cells,,,,,,,,F < M,,,,,F < M,
cluster 18 -- AVP neurons,,,,,F < M,,,,F < M,,,,,
cluster 19 -- monocyte,,,,,,,,,,,,,,
