,br1735a (Male),br5993b (Male),br6197 (Male),br1735b (Female),br5993a (Female),br6588 (Female)
cell cluster 1,1765,397,1573,1195,400,2043
cell cluster 2,1128,1419,1790,826,1179,1879
cell cluster 3,597,178,270,377,238,394
cell cluster 4,727,251,948,505,185,895
cell cluster 5,312,591,414,234,504,474
cell cluster 6,669,565,893,443,493,778
cell cluster 7,237,237,288,199,229,273
cell cluster 8,124,92,148,114,108,157
cell cluster 9,94,502,143,74,295,82
cell cluster 10,382,447,325,271,552,220
cell cluster 11,82,948,38,54,905,22
cell cluster 12,2008,1220,1927,1448,1078,2354
cell cluster 13,1,37,358,0,0,100
cell cluster 14,252,389,46,198,134,51
cell cluster 15,630,221,1213,428,215,1143
cell cluster 16,589,517,837,443,477,798
cell cluster 17,50,30,56,36,26,28
cell cluster 18,0,0,4,0,3,6
cell cluster 19,10,19,16,7,15,26
