,cell,trait,Prop._SNPs,Prop._h2,Prop._h2_std_error,Enrichment,Enrichment_std_error,Enrichment_p,Coefficient,Coefficient_std_error,Coefficient_z.score,p_zcore,FDR
302,OT2_mk,Alzheimer Disease,0.070821295,0.195069187,0.039277679,2.754386055,0.554602669,0.000648911,3.61E-09,1.98E-09,1.823780219,0.068185306,0.262883106
122,Vascular_mk,Alzheimer Disease,0.066030113,0.179013525,0.047366332,2.711089191,0.717344405,0.014973941,2.12E-09,2.83E-09,0.749750672,0.453404883,0.694208433
17,VMH1_mk,Parkinson Disease,0.08102166,0.196675008,0.047281794,2.427437394,0.5835698,0.011344397,1.28E-08,6.62E-09,1.928661982,0.053772839,0.225153425
262,ARC1_mk,Alzheimer Disease,0.057865425,0.13729909,0.03870839,2.37273104,0.668938148,0.032397817,2.34E-09,2.35E-09,0.997372346,0.318583809,0.566371216
57,vVMH_mk,Parkinson Disease,0.081397426,0.187035381,0.046029972,2.297804608,0.565496654,0.019839317,1.22E-08,6.55E-09,1.861976152,0.062606452,0.24733413
82,OT1_mk,Alzheimer Disease,0.072907802,0.161385246,0.026991808,2.21355248,0.370218378,0.002295502,1.24E-09,1.89E-09,0.653713367,0.51329649,0.726489257
133,Vascular_mk,Height,0.066030113,0.145598662,0.014133914,2.205034279,0.214052548,2.90E-07,5.55E-08,2.17E-08,2.557323502,0.010548107,0.105481071
277,ARC1_mk,Parkinson Disease,0.057865425,0.123886246,0.026085467,2.140937274,0.450795384,0.003103444,6.90E-09,4.07E-09,1.695878191,0.089908951,0.281009323
62,ARC2_mk,Alzheimer Disease,0.059319002,0.126099375,0.038131058,2.125783838,0.642813545,0.070043595,1.54E-09,2.31E-09,0.66670342,0.504961594,0.7181676
102,vARC_mk,Alzheimer Disease,0.055428483,0.116482938,0.037482966,2.101499666,0.676240159,0.094241076,1.29E-09,2.43E-09,0.533570452,0.593638756,0.769086647
177,VMH2_mk,Parkinson Disease,0.085649955,0.178699356,0.046872608,2.086391714,0.547257822,0.045674344,9.66E-09,6.40E-09,1.510531654,0.130907819,0.3489423
222,Astro_mk,Alzheimer Disease,0.06956466,0.140185192,0.023807266,2.015178282,0.342232194,0.004185474,-1.65E-10,1.81E-09,-0.090911029,0.927563287,0.968587552
182,GABA2_mk,Alzheimer Disease,0.077342678,0.152210311,0.030301497,1.96799898,0.391782357,0.007130869,2.33E-09,1.44E-09,1.614330607,0.106455735,0.312530597
202,OT3_mk,Alzheimer Disease,0.072670097,0.142592913,0.0198829,1.962195173,0.273604974,0.00029906,3.39E-10,1.47E-09,0.229604883,0.818398812,0.912500418
157,PortalVasc_mk,Parkinson Disease,0.068470578,0.128836962,0.041061314,1.881639768,0.599692829,0.139942178,4.72E-09,6.74E-09,0.700970055,0.483321703,0.707007057
153,PortalVasc_mk,Height,0.068470578,0.128658565,0.013085868,1.879034322,0.191116663,1.53E-05,2.55E-08,1.84E-08,1.386877632,0.16547908,0.397833361
117,vARC_mk,Parkinson Disease,0.055428483,0.104088219,0.023229152,1.877883235,0.419083308,0.017079998,3.62E-09,4.19E-09,0.863894251,0.387645985,0.631245168
