Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,18,-0.4565,24,-0.0191,7,-1.8428,21,-0.2273,20,-0.3262,31,0.37666,46,1.00337,29,0.23420,24,-0.0063,20,-0.2844,10,-1.2715,43,0.91226
ENSG00000187634,SAMD11,34,0.88381,72,2.24442,5,-1.9134,71,2.21581,0,-6.4245,16,-0.2794,6,-1.7239,0,-4.9774,4,-2.3489,11,-0.7847,5,-1.9160,10,-1.0093
ENSG00000188976,NOC2L,30,-0.3821,58,0.64141,29,-0.4467,32,-0.2707,62,0.75015,61,0.72975,22,-0.8427,46,0.28614,40,0.06946,28,-0.4998,15,-1.4000,40,0.04117
ENSG00000188290,HES4,140,0.77275,59,-0.5957,59,-0.5911,65,-0.4470,114,0.42478,77,-0.1945,58,-0.6217,102,0.25293,139,0.75016,58,-0.6173,62,-0.5149,110,0.36983
ENSG00000187608,ISG15,83,0.86661,87,0.93609,35,-0.4811,51,0.06519,63,0.41399,37,-0.3976,11,-2.1407,38,-0.3920,27,-0.9093,59,0.30679,68,0.54780,23,-1.1442
ENSG00000078808,SDF4,115,0.25397,113,0.22583,108,0.14487,135,0.50573,51,-1.0083,112,0.20423,100,0.02620,92,-0.0994,73,-0.4648,89,-0.1505,71,-0.4971,119,0.31236
ENSG00000176022,B3GALT6,44,0.13062,52,0.37816,47,0.22629,55,0.47423,20,-1.1116,48,0.25480,56,0.48733,57,0.52364,26,-0.7120,36,-0.2073,19,-1.1344,31,-0.4259
ENSG00000160087,UBE2J2,17,-1.5848,56,0.17740,47,-0.1217,64,0.37569,44,-0.2139,64,0.38482,66,0.43171,81,0.75334,41,-0.3252,42,-0.2667,49,-0.0573,33,-0.6267
ENSG00000131584,ACAP3,28,-0.7438,42,-0.1399,52,0.20441,58,0.37272,16,-1.5825,71,0.69081,40,-0.2197,27,-0.7849,95,1.17967,35,-0.4084,66,0.56488,21,-1.1711
ENSG00000127054,INTS11,54,0.23479,54,0.23959,40,-0.2251,101,1.25570,15,-1.6753,82,0.89813,31,-0.6377,30,-0.6753,43,-0.1414,25,-0.9627,38,-0.2996,48,0.02764
ENSG00000224051,CPTP,17,0.14622,14,-0.2190,7,-1.2355,9,-0.7703,0,-6.2019,42,1.61035,5,-1.7253,16,0.04802,20,0.37861,25,0.72929,21,0.45041,13,-0.2715
ENSG00000107404,DVL1,64,0.23450,48,-0.2029,53,-0.0531,57,0.05200,49,-0.1831,52,-0.0912,55,0.00273,63,0.22754,40,-0.4774,37,-0.6148,103,1.01401,38,-0.5461
ENSG00000175756,AURKAIP1,218,0.68583,141,-0.0179,97,-0.5935,121,-0.2521,162,0.19808,115,-0.3327,116,-0.3182,149,0.06520,138,-0.0487,115,-0.3389,244,0.87154,94,-0.6359
ENSG00000221978,CCNL2,29,-0.9507,66,0.33488,54,0.00132,65,0.30223,32,-0.7970,78,0.60259,59,0.15529,55,0.04890,51,-0.0901,55,0.03942,49,-0.1334,51,-0.0949
ENSG00000242485,MRPL20,161,-0.1836,255,0.54634,203,0.17904,213,0.25496,144,-0.3580,194,0.10638,184,0.02667,128,-0.5348,145,-0.3401,165,-0.1457,208,0.22123,173,-0.0726
ENSG00000235098,ANKRD65,14,-0.8252,34,0.57305,16,-0.5457,47,1.10933,13,-0.8994,25,0.06561,25,0.11068,21,-0.1971,4,-2.4826,22,-0.1000,42,0.89845,21,-0.1824
ENSG00000179403,VWA1,13,-1.5696,30,-0.2954,21,-0.8740,34,-0.1088,37,0.02089,28,-0.4227,30,-0.2895,56,0.66749,21,-0.8683,74,1.13044,76,1.18668,21,-0.8481
ENSG00000205090,TMEM240,2,-3.8536,29,0.09811,16,-0.8064,33,0.29653,8,-1.8124,54,1.10915,23,-0.2315,37,0.47015,74,1.65074,22,-0.3056,20,-0.4791,10,-1.5297
ENSG00000160075,SSU72,163,-0.1563,219,0.31269,189,0.07681,225,0.35428,228,0.37654,185,0.04205,192,0.09879,187,0.05660,119,-0.6351,144,-0.3461,158,-0.2016,151,-0.2728
ENSG00000228594,FNDC10,67,-0.1091,178,1.51690,120,0.84276,103,0.58585,32,-1.2324,62,-0.2247,85,0.27929,99,0.52733,14,-2.3712,25,-1.5528,26,-1.5078,45,-0.7106
ENSG00000272106,AL691432.2,10,-1.9073,39,0.04674,22,-0.8027,47,0.34350,36,-0.0858,33,-0.2160,49,0.39751,30,-0.3580,69,0.97623,46,0.31237,26,-0.5447,46,0.30666
ENSG00000197530,MIB2,20,-0.7825,44,0.41143,40,0.25570,65,1.04611,28,-0.2879,42,0.32938,29,-0.2407,24,-0.5532,33,-0.0537,25,-0.4891,30,-0.1888,28,-0.2911
ENSG00000189339,SLC35E2B,15,-1.0646,42,0.56558,33,0.15169,27,-0.1610,28,-0.0970,41,0.52212,65,1.28893,23,-0.3627,29,-0.0283,17,-0.8485,13,-1.2244,23,-0.4137
ENSG00000215790,SLC35E2A,10,-0.9658,17,-0.1539,19,-0.0461,30,0.72601,6,-1.7681,20,0.04109,20,0.06314,18,-0.1356,32,0.82836,13,-0.5837,10,-0.9526,36,0.98635
ENSG00000008130,NADK,28,-0.0254,35,0.28714,21,-0.4717,37,0.38044,10,-1.5823,40,0.53414,35,0.29506,29,-0.0115,35,0.30275,27,-0.1096,22,-0.4265,28,-0.0629
ENSG00000078369,GNB1,289,-0.5386,410,0.00695,340,-0.2873,531,0.41664,439,0.11478,386,-0.0892,395,-0.0513,528,0.40874,424,0.05829,302,-0.4673,557,0.49611,301,-0.4758
ENSG00000187730,GABRD,3,-3.5041,10,-1.9151,10,-1.9609,0,-5.9837,0,-7.4257,4,-3.0225,0,-8.3049,0,-5.8372,327,4.99868,3,-3.3153,76,1.20298,2,-4.2769
ENSG00000067606,PRKCZ,80,-0.9592,197,0.43946,86,-0.8552,134,-0.1691,187,0.35257,198,0.44152,125,-0.2759,177,0.26189,219,0.61171,130,-0.2199,181,0.29774,82,-0.9143
ENSG00000162585,FAAP20,56,-0.3940,128,0.90484,96,0.43544,67,-0.1363,54,-0.4580,81,0.15807,70,-0.0591,56,-0.4156,50,-0.5743,87,0.28269,51,-0.5453,79,0.12127
ENSG00000157933,SKI,9,-2.0772,11,-1.6998,32,-0.1935,33,-0.1219,21,-0.8150,27,-0.4187,47,0.41006,33,-0.1100,53,0.60735,41,0.20736,54,0.63891,70,1.08880
ENSG00000157916,RER1,137,0.75376,125,0.59597,78,-0.1450,104,0.30879,69,-0.3394,91,0.09908,79,-0.1339,66,-0.3948,69,-0.3393,86,0.00743,69,-0.3288,55,-0.6745
ENSG00000157911,PEX10,45,0.55831,33,0.03990,25,-0.3513,61,1.04834,11,-1.5430,26,-0.3389,43,0.48534,33,0.07580,34,0.09770,38,0.28748,15,-1.1057,17,-0.9483
ENSG00000149527,PLCH2,0,-6.6860,1,-3.7618,0,-5.1105,24,0.81691,18,0.33593,13,-0.1825,17,0.26482,43,1.84771,15,0.07011,36,1.49250,2,-2.7842,4,-1.7766
ENSG00000157881,PANK4,4,-2.0279,18,-0.0539,16,-0.1580,21,0.19091,10,-0.9132,21,0.19209,14,-0.3757,25,0.50753,32,0.89360,6,-1.6520,38,1.19104,14,-0.4163
ENSG00000197921,HES5,19,-2.3050,50,-0.8642,163,0.99630,131,0.63311,112,0.37039,31,-1.5741,139,0.73111,76,-0.2379,12,-2.9383,57,-0.6641,39,-1.2588,231,1.61015
ENSG00000272449,AL139246.5,13,-1.1630,23,-0.3260,87,1.92392,37,0.44410,25,-0.1506,15,-0.9400,42,0.65722,19,-0.6247,4,-2.6722,8,-1.9163,9,-1.6819,54,1.06382
ENSG00000157870,PRXL2B,39,-0.6512,50,-0.2938,81,0.46741,71,0.26886,64,0.10712,83,0.51791,80,0.45788,99,0.79942,22,-1.5136,45,-0.4366,33,-0.9072,53,-0.1888
ENSG00000158109,TPRG1L,131,-0.2027,222,0.64166,105,-0.5304,173,0.23833,125,-0.2693,218,0.61603,152,0.03267,196,0.43912,153,0.04740,92,-0.7342,91,-0.7508,125,-0.2651
ENSG00000116213,WRAP73,9,-0.7501,23,0.61809,20,0.41501,20,0.36269,0,-4.8400,36,1.34241,20,0.40547,11,-0.4762,14,-0.2218,4,-1.8621,15,-0.0340,14,-0.1456
ENSG00000130764,LRRC47,60,-0.7512,127,0.40392,78,-0.3569,93,-0.0922,82,-0.2878,155,0.72148,71,-0.5008,200,1.16025,73,-0.4740,79,-0.3497,84,-0.2537,81,-0.2997
ENSG00000116198,CEP104,7,-1.5302,22,0.07668,18,-0.1724,30,0.59367,26,0.37577,17,-0.3222,23,0.18621,19,-0.0934,20,-0.0782,32,0.68857,19,-0.1590,14,-0.5412
ENSG00000198912,C1orf174,21,0.25838,15,-0.3250,9,-1.0707,20,0.11675,32,0.92784,16,-0.1690,19,0.11010,47,1.58280,17,-0.1345,6,-1.6757,9,-1.0866,7,-1.4494
ENSG00000196581,AJAP1,5,-2.4458,17,-0.6687,18,-0.5768,21,-0.3062,2,-3.4727,34,0.44236,30,0.25068,49,1.05091,58,1.32571,21,-0.3140,25,-0.0283,29,0.18760
ENSG00000069424,KCNAB2,51,-0.6197,24,-1.7249,13,-2.6187,28,-1.4938,37,-1.1000,123,0.77685,34,-1.2122,98,0.40061,244,2.00425,44,-0.8476,129,0.85786,86,0.19719
ENSG00000116254,CHD5,50,-1.1337,59,-0.9043,87,-0.3112,130,0.31875,190,0.94310,123,0.23589,192,0.96054,194,0.97243,30,-1.9054,60,-0.8873,86,-0.3368,75,-0.5378
ENSG00000116251,RPL22,377,-0.3526,446,-0.0902,619,0.43131,649,0.50679,520,0.15253,301,-0.6967,312,-0.6396,354,-0.4503,416,-0.1981,660,0.53515,497,0.07869,518,0.14681
ENSG00000116237,ICMT,52,0.07800,78,0.72928,57,0.22586,44,-0.1720,45,-0.1378,48,-0.0384,30,-0.7699,18,-1.4731,93,1.03314,37,-0.4502,47,-0.0865,43,-0.2150
ENSG00000097021,ACOT7,292,-0.0552,433,0.57222,211,-0.5574,264,-0.2123,263,-0.2198,539,0.93784,219,-0.5038,463,0.68225,236,-0.3896,179,-0.8084,184,-0.7666,350,0.22913
ENSG00000162408,NOL9,24,-0.6389,35,-0.0907,35,-0.0587,46,0.36389,44,0.28842,35,-0.0588,37,0.00810,45,0.32842,35,-0.0574,45,0.29772,27,-0.4523,32,-0.2374
ENSG00000162413,KLHL21,14,-1.5163,31,-0.2855,49,0.39502,38,-0.0104,87,1.35777,35,-0.1362,30,-0.3394,30,-0.3433,43,0.21131,46,0.30586,29,-0.4229,23,-0.7518
ENSG00000116273,PHF13,4,-2.3149,31,0.68786,28,0.54953,13,-0.6063,8,-1.2644,36,0.97168,26,0.41647,23,0.25658,13,-0.6063,11,-0.8262,22,0.18893,21,0.07842
ENSG00000041988,THAP3,23,0.24052,37,1.00346,26,0.42817,25,0.39619,3,-2.6348,40,1.16265,15,-0.4161,13,-0.6708,11,-0.9059,7,-1.4117,10,-0.9485,25,0.40416
ENSG00000007923,DNAJC11,55,0.72628,20,-0.8621,48,0.51990,35,0.00037,13,-1.4385,41,0.26758,24,-0.5347,39,0.17269,48,0.50335,21,-0.7777,38,0.12622,35,0.03312
ENSG00000171735,CAMTA1,122,-0.9676,181,-0.3606,229,0.00018,238,0.06085,278,0.30763,266,0.23912,394,0.87958,411,0.95182,128,-0.8929,149,-0.6593,114,-1.0600,235,0.04502
ENSG00000049245,VAMP3,41,-0.1958,109,1.41651,39,-0.2692,96,1.18952,34,-0.4840,22,-1.1198,20,-1.2944,20,-1.2463,26,-0.8759,107,1.38582,24,-1.0202,18,-1.3943
ENSG00000049246,PER3,18,-1.2250,37,-0.1023,60,0.65960,46,0.23957,35,-0.1983,34,-0.2443,60,0.65280,36,-0.1440,31,-0.3719,39,-0.0510,38,-0.0939,44,0.14676
ENSG00000116288,PARK7,422,0.03817,458,0.16870,339,-0.3021,427,0.05648,404,-0.0282,403,-0.0333,452,0.14849,432,0.07561,402,-0.0381,349,-0.2565,428,0.05910,425,0.04785
ENSG00000116285,ERRFI1,13,-0.8433,29,0.30630,17,-0.4725,9,-1.4023,33,0.51173,32,0.47082,37,0.72164,39,0.77611,22,-0.0827,19,-0.3467,13,-0.8712,20,-0.2469
ENSG00000162426,SLC45A1,22,-0.5367,18,-0.8296,21,-0.5991,21,-0.5985,52,0.79368,43,0.46649,56,0.91964,33,0.04800,29,-0.1452,19,-0.7531,33,0.07041,32,0.02133
ENSG00000142599,RERE,50,-1.2044,118,0.08593,109,-0.0372,101,-0.1541,93,-0.2865,107,-0.0643,173,0.70609,159,0.56911,91,-0.3194,84,-0.4279,88,-0.3638,164,0.62031
ENSG00000074800,ENO1,592,-0.0621,492,-0.3509,560,-0.1511,726,0.25957,750,0.31216,772,0.35726,404,-0.6535,603,-0.0330,926,0.65412,602,-0.0367,520,-0.2659,449,-0.4919
ENSG00000171612,SLC25A33,47,-0.4212,49,-0.3604,120,1.07969,77,0.34120,84,0.48676,37,-0.8003,42,-0.5907,79,0.38729,21,-1.5901,78,0.36079,54,-0.2238,55,-0.1864
ENSG00000188807,TMEM201,8,-1.3068,27,0.56580,19,-0.0449,16,-0.2507,28,0.61384,11,-0.8465,19,0.02996,34,0.91931,15,-0.3595,21,0.14425,19,0.00387,11,-0.7556
ENSG00000171603,CLSTN1,285,-0.6615,367,-0.2739,337,-0.4043,501,0.21326,395,-0.1612,705,0.76992,497,0.20122,645,0.62229,378,-0.2275,295,-0.6121,384,-0.2031,462,0.08503
ENSG00000178585,CTNNBIP1,27,-0.9709,42,-0.2968,60,0.27427,53,0.05920,67,0.44000,46,-0.1381,63,0.35041,84,0.81285,16,-1.7464,51,0.00384,26,-1.0111,74,0.59123
ENSG00000162441,LZIC,50,0.48617,28,-0.4179,48,0.41874,52,0.53422,27,-0.4557,35,-0.0910,21,-0.8723,20,-0.9050,28,-0.4221,56,0.66874,36,-0.0290,41,0.16711
ENSG00000130939,UBE4B,36,-0.2361,58,0.52827,32,-0.3840,54,0.41850,24,-0.8264,77,1.00521,50,0.27447,43,0.05813,36,-0.2042,54,0.40162,11,-2.0137,24,-0.8506
ENSG00000054523,KIF1B,154,-0.9950,277,-0.0949,311,0.08858,391,0.45344,309,0.07689,309,0.07442,252,-0.2435,319,0.12738,300,0.02865,267,-0.1521,297,0.01428,346,0.25734
ENSG00000142657,PGD,52,-0.3636,55,-0.2557,73,0.16788,81,0.34621,50,-0.4012,100,0.67552,61,-0.1106,77,0.26089,34,-0.9979,77,0.25660,62,-0.0710,62,-0.0886
ENSG00000241563,CORT,12,-2.6143,11,-2.6523,5,-3.7247,11,-2.6966,0,-8.3481,18,-2.0362,0,-6.9418,0,-7.7533,41,-0.8016,0,-6.9750,730,6.29269,0,-9.8869
ENSG00000160049,DFFA,32,-0.1439,24,-0.6118,19,-0.9331,28,-0.3460,54,0.68067,36,0.03879,21,-0.7598,21,-0.7614,23,-0.6729,37,0.06178,49,0.52717,79,1.31775
ENSG00000142655,PEX14,10,-1.5343,39,0.52031,35,0.34098,23,-0.3282,40,0.55851,50,0.93357,34,0.28897,33,0.24196,33,0.24690,20,-0.5433,11,-1.4096,10,-1.4972
ENSG00000120948,TARDBP,71,-0.1365,102,0.43472,62,-0.3654,90,0.22775,100,0.39089,84,0.11384,70,-0.1685,89,0.20798,70,-0.1704,81,0.05608,52,-0.6148,64,-0.2946
ENSG00000116649,SRM,117,0.18120,95,-0.1379,85,-0.3167,103,-0.0215,78,-0.4396,149,0.57255,104,-0.0062,97,-0.1074,109,0.07221,85,-0.3184,116,0.17779,111,0.10136
ENSG00000171824,EXOSC10,20,-0.6313,57,1.04293,28,-0.0831,35,0.23079,6,-2.2461,40,0.47100,27,-0.1548,36,0.30881,37,0.32022,22,-0.4419,36,0.28314,14,-1.1368
ENSG00000198793,MTOR,36,-0.2285,57,0.51340,36,-0.1966,25,-0.7671,45,0.14452,69,0.81627,37,-0.1564,77,1.00869,44,0.11113,26,-0.7266,22,-0.9646,21,-0.9961
ENSG00000116661,FBXO2,420,0.83260,366,0.60688,204,-0.3256,441,0.91371,171,-0.5894,214,-0.2465,177,-0.5438,136,-0.9367,154,-0.7507,364,0.59867,185,-0.4688,178,-0.5332
ENSG00000132879,FBXO44,92,-0.2364,127,0.27031,42,-1.4245,119,0.16039,67,-0.7136,162,0.65964,117,0.14351,108,0.00961,178,0.82113,64,-0.7907,120,0.17865,90,-0.2776
ENSG00000116663,FBXO6,4,-2.1148,32,0.98412,12,-0.5860,23,0.48971,23,0.50012,24,0.55844,40,1.38865,11,-0.6966,9,-0.9637,10,-0.8425,14,-0.3302,4,-2.2208
