mouse_subclass	human_domain	pcc	spearmancor
x301_Endo_NN	X3	-0.0165510486069382	-0.0105416175472778
x298_VLMC_NN	X3	-0.0847702614712212	-0.0906460732379315
x045_STRv_Lhx8_Gaba	X3	0.00136081168493241	-0.00688845481780572
x123_VMH_Fezf1_Glut	X3	-0.153251018300415	-0.196518202957862
x070_RE_Xi_Nox4_Glut	X3	-0.142098460151313	-0.16349035303384
x069_TH_Prkcd_Grin2c_Glut	X3	-0.114738694953556	-0.12518453378858
x115_TMd_Foxd2_Gaba	X3	-0.15553614933257	-0.166579798874547
x149_IPN_IF_RL_Foxa1_Glut	X3	-0.0827944641621579	-0.105060970565228
x107_PVH_Six3_Prox1_Gaba	X3	-0.12675153054227	-0.162838658442821
x075_PVa_ARH_Six3_Dopa_Gaba	X3	-0.0810089685350306	-0.101154385781366
x139_PM_Pitx2_Glut	X3	-0.135194574852412	-0.181661550302793
x121_ARH_PVp_Tbx3_Glut	X3	-0.117593463549226	-0.178846686239309
x088_DMH_Nkx2_4_Glut	X3	-0.125098794486285	-0.174217722557896
x148_PH_SUM_Foxa1_Glut	X3	-0.160892528228602	-0.191276300235989
x067_PVT_PT_Ntrk1_Glut	X3	-0.0841505210498598	-0.101477068308032
x106_PVR_Six3_Gaba	X3	-0.149850856949429	-0.183097675968155
x073_MM_ant_Foxb1_Glut	X3	-0.1535302392669	-0.190710555077204
x120_ARH_PVp_Tbx3_Gaba	X3	-0.145628637227611	-0.171929010699091
x087_DMH_Prdm13_Gaba	X3	-0.16311525750631	-0.19337106639585
x083_MEA_BST_Sox6_Gaba	X3	-0.0826376776641421	-0.0991417753117461
x118_MPO_MPN_Glut	X3	-0.0914471613550593	-0.152808560166558
x080_GPi_Skor1_Gaba_Glut	X3	0.080773971085841	0.103451998663969
x143_PM_LHA_Foxb1_Glut	X3	-0.164881976767249	-0.186647825072708
x286_Astro_NT_NN	X3	-0.154725735054126	-0.174762333651758
x101_PVpo_VMPO_SFO_Tbr1_Glut	X3	-0.0916847278487464	-0.141915849893826
