Feature ID,Feature Name,Feature count topic 1to11,Feature log2 fold change topic 1to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,16,-2.0752,50,1.12248,92,2.22418
ENSG00000187634,SAMD11,17,-2.0117,50,1.07966,92,2.17396
ENSG00000188976,NOC2L,44,-0.6865,50,0.06413,92,1.03953
ENSG00000188290,HES4,74,0.05310,50,-0.5804,92,0.35520
ENSG00000187608,ISG15,52,-2.8852,682,3.61348,92,-0.1844
ENSG00000078808,SDF4,91,0.34968,50,-0.8495,92,0.07437
ENSG00000176022,B3GALT6,41,-0.7790,50,0.14146,92,1.12303
ENSG00000160087,UBE2J2,47,-0.5911,50,-0.0165,92,0.95274
ENSG00000131584,ACAP3,44,-3.0738,664,3.76462,92,-0.0645
ENSG00000127054,INTS11,47,-0.5792,50,-0.0266,92,0.94192
ENSG00000224051,CPTP,21,-1.7679,50,0.90981,92,1.97712
ENSG00000107404,DVL1,49,-0.5252,50,-0.0727,92,0.89257
ENSG00000175756,AURKAIP1,141,0.98109,50,-1.4371,92,-0.5322
ENSG00000221978,CCNL2,50,-0.4927,50,-0.1005,92,0.86284
ENSG00000224870,MRPL20-AS1,12,-2.5046,50,1.39512,92,2.55064
ENSG00000242485,MRPL20,173,1.27821,50,-1.7191,92,-0.8208
ENSG00000235098,ANKRD65,24,-1.5574,50,0.75643,92,1.80232
ENSG00000179403,VWA1,69,-0.0344,50,-0.5021,92,0.43745
ENSG00000197785,ATAD3A,13,-2.4232,50,1.34569,92,2.49052
ENSG00000205090,TMEM240,22,-1.6789,50,0.84570,92,1.90374
ENSG00000160075,SSU72,166,1.22121,50,-1.6647,92,-0.7653
ENSG00000228594,FNDC10,50,-0.4939,50,-0.0995,92,0.86395
ENSG00000272106,AL691432.2,33,-1.1035,50,0.40616,92,1.41176
ENSG00000197530,MIB2,29,-1.2724,50,0.53943,92,1.55910
ENSG00000189339,SLC35E2B,23,-1.6274,50,0.80810,92,1.86092
ENSG00000215790,SLC35E2A,22,-1.6841,50,0.84947,92,1.90805
ENSG00000008130,NADK,30,-1.2312,50,0.50726,92,1.52340
ENSG00000078369,GNB1,350,2.29353,50,-2.7003,92,-1.8172
ENSG00000067606,PRKCZ,132,-2.2996,50,-2.1534,1250,3.31849
ENSG00000162585,FAAP20,59,-0.2623,50,-0.3004,92,0.65023
ENSG00000157933,SKI,28,-1.3181,50,0.57489,92,1.59854
ENSG00000157916,RER1,86,0.26761,50,-0.7745,92,0.15238
ENSG00000157911,PEX10,30,-1.2260,50,0.50318,92,1.51887
ENSG00000149527,PLCH2,13,-2.3842,50,1.32163,92,2.46141
ENSG00000157881,PANK4,15,-2.1872,50,1.19640,92,2.31152
ENSG00000197921,HES5,80,0.17300,50,-0.6886,92,0.24203
ENSG00000272449,AL139246.5,20,-1.7911,50,0.92637,92,1.99615
