NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	170		
HALLMARK_HYPOXIA	200	179		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	69		
HALLMARK_MITOTIC_SPINDLE	199	170		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	38		
HALLMARK_TGF_BETA_SIGNALING	54	51		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	58		
HALLMARK_DNA_REPAIR	150	143		
HALLMARK_G2M_CHECKPOINT	200	145		
HALLMARK_APOPTOSIS	161	142		
HALLMARK_NOTCH_SIGNALING	32	31		
HALLMARK_ADIPOGENESIS	200	190		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	164		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	151		
HALLMARK_ANDROGEN_RESPONSE	101	90		
HALLMARK_MYOGENESIS	200	159		
HALLMARK_PROTEIN_SECRETION	96	94		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	89		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	172		
HALLMARK_APICAL_JUNCTION	200	162		
HALLMARK_APICAL_SURFACE	44	30		
HALLMARK_HEDGEHOG_SIGNALING	36	34		
HALLMARK_COMPLEMENT	200	159		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	110		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	91		
HALLMARK_MTORC1_SIGNALING	200	193		
HALLMARK_E2F_TARGETS	200	154		
HALLMARK_MYC_TARGETS_V1	200	195		
HALLMARK_MYC_TARGETS_V2	58	56		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	173		
HALLMARK_INFLAMMATORY_RESPONSE	200	140		
HALLMARK_XENOBIOTIC_METABOLISM	200	149		
HALLMARK_FATTY_ACID_METABOLISM	158	133		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	200		
HALLMARK_GLYCOLYSIS	200	173		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	48		
HALLMARK_P53_PATHWAY	200	179		
HALLMARK_UV_RESPONSE_UP	158	141		
HALLMARK_UV_RESPONSE_DN	144	140		
HALLMARK_ANGIOGENESIS	36	27		
HALLMARK_HEME_METABOLISM	200	168		
HALLMARK_COAGULATION	138	94		
HALLMARK_IL2_STAT5_SIGNALING	199	161		
HALLMARK_BILE_ACID_METABOLISM	112	87		
HALLMARK_PEROXISOME	104	92		
HALLMARK_ALLOGRAFT_REJECTION	200	129		
HALLMARK_SPERMATOGENESIS	135	74		
HALLMARK_KRAS_SIGNALING_UP	200	155		
HALLMARK_KRAS_SIGNALING_DN	200	98		
HALLMARK_PANCREAS_BETA_CELLS	40	26		
CHR1P11	21		Rejected!	
CHR1P12	53		Rejected!	
CHR1P13	213	86		
CHR1P21	107	32		
CHR1P22	134	53		
CHR1P31	223	63		
CHR1P32	156	49		
CHR1P33	61	16		
CHR1P34	292	129		
CHR1P35	136	70		
CHR1P36	681	251		
CHR1Q21	404	125		
CHR1Q22	71	41		
CHR1Q23	224	70		
CHR1Q24	128	37		
CHR1Q25	165	55		
CHR1Q31	74	23		
CHR1Q32	286	99		
CHR1Q41	96	27		
CHR1Q42	239	80		
CHR1Q43	62	15		
CHR1Q44	128	24		
CHR10P11	126	23		
CHR10P12	140	41		
CHR10P13	66	23		
CHR10P14	48		Rejected!	
CHR10P15	89	23		
CHR10Q11	188	39		
CHR10Q21	119	34		
CHR10Q22	207	79		
CHR10Q23	194	60		
CHR10Q24	189	95		
CHR10Q25	131	37		
CHR10Q26	207	86		
CHR11P11	153	48		
CHR11P12	19		Rejected!	
CHR11P13	64	31		
CHR11P14	59	18		
CHR11P15	563	160		
CHR11Q11	40		Rejected!	
CHR11Q12	342	86		
CHR11Q13	449	202		
CHR11Q14	156	38		
CHR11Q21	63	26		
CHR11Q22	105	34		
CHR11Q23	218	88		
CHR11Q24	190	47		
CHR11Q25	31		Rejected!	
CHR12P11	84	29		
CHR12P12	113	37		
CHR12P13	349	117		
CHR12Q12	62	23		
CHR12Q13	419	163		
CHR12Q14	114	33		
CHR12Q15	56	17		
CHR12Q21	139	48		
CHR12Q22	57		Rejected!	
CHR12Q23	150	63		
CHR12Q24	410	192		
CHR13Q11	25		Rejected!	
CHR13Q12	235	54		
CHR13Q13	81	20		
CHR13Q14	245	75		
CHR13Q21	117		Rejected!	
CHR13Q22	62		Rejected!	
CHR13Q31	99		Rejected!	
CHR13Q32	95	27		
CHR13Q33	57	15		
CHR13Q34	88	29		
CHR14Q11	330	61		
CHR14Q12	105	42		
CHR14Q13	60	21		
CHR14Q21	97	29		
CHR14Q22	93	37		
CHR14Q23	131	48		
CHR14Q24	201	91		
CHR14Q31	59		Rejected!	
CHR14Q32	565	117		
CHR15Q11	216		Rejected!	
CHR15Q12	18		Rejected!	
CHR15Q13	101	16		
CHR15Q14	61	22		
CHR15Q15	146	67		
CHR15Q21	176	73		
CHR15Q22	131	58		
CHR15Q23	68	25		
CHR15Q24	122	51		
CHR15Q25	157	57		
CHR15Q26	204	58		
CHR16P11	276	80		
CHR16P12	172	58		
CHR16P13	421	185		
CHR16Q11	12		Rejected!	
CHR16Q12	101	29		
CHR16Q13	40	22		
CHR16Q21	78	28		
CHR16Q22	182	93		
CHR16Q23	114	42		
CHR16Q24	132	61		
CHR17P11	203	55		
CHR17P12	64	17		
CHR17P13	346	157		
CHR17Q11	169	67		
CHR17Q12	147	63		
CHR17Q21	472	161		
CHR17Q22	88	36		
CHR17Q23	118	44		
CHR17Q24	98	33		
CHR17Q25	305	161		
CHR18P11	210	56		
CHR18Q11	85	24		
CHR18Q12	104	31		
CHR18Q21	202	60		
CHR18Q22	65	22		
CHR18Q23	39	17		
CHR19P12	114	17		
CHR19P13	786	402		
CHR19Q11	5		Rejected!	
CHR19Q12	30		Rejected!	
CHR19Q13	1185		Rejected!	
CHR2P11	213	39		
CHR2P12	56		Rejected!	
CHR2P13	140	65		
CHR2P14	63	19		
CHR2P15	44		Rejected!	
CHR2P16	119	30		
CHR2P21	80	30		
CHR2P22	103	38		
CHR2P23	149	71		
CHR2P24	80	20		
CHR2P25	126	46		
CHR2Q11	152	55		
CHR2Q12	82	17		
CHR2Q13	59		Rejected!	
CHR2Q14	164	48		
