NAME	TITLE	SCORE	
AGRP	agouti related neuropeptide [Source:HGNC Symbol;Acc:HGNC:330]	4.6796618	
GABRE	gamma-aminobutyric acid type A receptor subunit epsilon [Source:HGNC Symbol;Acc:HGNC:4085]	3.700426	
GHRH	growth hormone releasing hormone [Source:HGNC Symbol;Acc:HGNC:4265]	3.4717064	
KISS1	KiSS-1 metastasis suppressor [Source:HGNC Symbol;Acc:HGNC:6341]	3.4326422	
CYP26A1	cytochrome P450 family 26 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2603]	3.1524537	
CRH	corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]	2.895483	
LAIR2	leukocyte associated immunoglobulin like receptor 2 [Source:HGNC Symbol;Acc:HGNC:6478]	2.8143013	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2.7357635	
GABRQ	gamma-aminobutyric acid type A receptor subunit theta [Source:HGNC Symbol;Acc:HGNC:14454]	2.7221942	
C11orf16	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	2.7020094	
AGTR1	angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]	2.6872687	
ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	2.5960674	
DLK1	delta like non-canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2907]	2.5678153	
ACTA1	actin alpha 1, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:129]	2.5346525	
CYSLTR2	cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]	2.4738755	
ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	2.386014	
INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	2.3405793	
ALKAL2	ALK and LTK ligand 2 [Source:HGNC Symbol;Acc:HGNC:27683]	2.317719	
GSX1	GS homeobox 1 [Source:HGNC Symbol;Acc:HGNC:20374]	2.2708855	
GLRA2	glycine receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4327]	2.2634366	
ELMO3	engulfment and cell motility 3 [Source:HGNC Symbol;Acc:HGNC:17289]	2.219666	
GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	2.1722102	
IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	2.1458542	
ARHGAP36	Rho GTPase activating protein 36 [Source:HGNC Symbol;Acc:HGNC:26388]	2.1231148	
CIBAR2	CBY1 interacting BAR domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24781]	2.0970423	
CALCR	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]	2.0761626	
GRP	gastrin releasing peptide [Source:HGNC Symbol;Acc:HGNC:4605]	2.0446312	
CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	2.04253	
FST	follistatin [Source:HGNC Symbol;Acc:HGNC:3971]	1.9985716	
C17orf107	chromosome 17 open reading frame 107 [Source:HGNC Symbol;Acc:HGNC:37238]	1.9681095	
GULP1	GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]	1.9397285	
FNDC9	fibronectin type III domain containing 9 [Source:HGNC Symbol;Acc:HGNC:33547]	1.879337	
ACVR1C	activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]	1.8674335	
ECEL1	endothelin converting enzyme like 1 [Source:HGNC Symbol;Acc:HGNC:3147]	1.8159955	
DHRS2	dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]	1.8024673	
GRIK1	glutamate ionotropic receptor kainate type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4579]	1.7888691	
CCR10	C-C motif chemokine receptor 10 [Source:HGNC Symbol;Acc:HGNC:4474]	1.7694488	
IGSF1	immunoglobulin superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:5948]	1.747514	
HMX3	H6 family homeobox 3 [Source:HGNC Symbol;Acc:HGNC:5019]	1.7418267	
FAM166C	family with sequence similarity 166 member C [Source:HGNC Symbol;Acc:HGNC:27938]	1.7083472	
KCNK2	potassium two pore domain channel subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:6277]	1.6827021	
KCNS3	potassium voltage-gated channel modifier subfamily S member 3 [Source:HGNC Symbol;Acc:HGNC:6302]	1.6722432	
COL22A1	collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]	1.6324577	
CFHR1	complement factor H related 1 [Source:HGNC Symbol;Acc:HGNC:4888]	1.6275905	
GNRH1	gonadotropin releasing hormone 1 [Source:HGNC Symbol;Acc:HGNC:4419]	1.6267427	
HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	1.6221716	
C2CD4C	C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]	1.5957305	
