Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,18,-0.4565,24,-0.0191,7,-1.8428,21,-0.2273,20,-0.3262,31,0.37666,37,0.74275,24,-0.0063,20,-0.2844,10,-1.2715,43,0.91226
ENSG00000187634,SAMD11,34,0.88381,72,2.24442,5,-1.9134,71,2.21581,0,-6.4245,16,-0.2794,3,-2.7099,4,-2.3489,11,-0.7847,5,-1.9160,10,-1.0093
ENSG00000188976,NOC2L,30,-0.3821,58,0.64141,29,-0.4467,32,-0.2707,62,0.75015,61,0.72975,34,-0.2029,40,0.06946,28,-0.4998,15,-1.4000,40,0.04117
ENSG00000188290,HES4,140,0.77275,59,-0.5957,59,-0.5911,65,-0.4470,114,0.42478,77,-0.1945,80,-0.1410,139,0.75016,58,-0.6173,62,-0.5149,110,0.36983
ENSG00000187608,ISG15,83,0.86661,87,0.93609,35,-0.4811,51,0.06519,63,0.41399,37,-0.3976,24,-1.1065,27,-0.9093,59,0.30679,68,0.54780,23,-1.1442
ENSG00000078808,SDF4,115,0.25397,113,0.22583,108,0.14487,135,0.50573,51,-1.0083,112,0.20423,96,-0.0389,73,-0.4648,89,-0.1505,71,-0.4971,119,0.31236
ENSG00000176022,B3GALT6,44,0.13062,52,0.37816,47,0.22629,55,0.47423,20,-1.1116,48,0.25480,56,0.56743,26,-0.7120,36,-0.2073,19,-1.1344,31,-0.4259
ENSG00000160087,UBE2J2,17,-1.5848,56,0.17740,47,-0.1217,64,0.37569,44,-0.2139,64,0.38482,73,0.67560,41,-0.3252,42,-0.2667,49,-0.0573,33,-0.6267
ENSG00000131584,ACAP3,28,-0.7438,42,-0.1399,52,0.20441,58,0.37272,16,-1.5825,71,0.69081,34,-0.5182,95,1.17967,35,-0.4084,66,0.56488,21,-1.1711
ENSG00000127054,INTS11,54,0.23479,54,0.23959,40,-0.2251,101,1.25570,15,-1.6753,82,0.89813,30,-0.7082,43,-0.1414,25,-0.9627,38,-0.2996,48,0.02764
ENSG00000224051,CPTP,17,0.14622,14,-0.2190,7,-1.2355,9,-0.7703,0,-6.2019,42,1.61035,10,-0.6554,20,0.37861,25,0.72929,21,0.45041,13,-0.2715
ENSG00000107404,DVL1,64,0.23450,48,-0.2029,53,-0.0531,57,0.05200,49,-0.1831,52,-0.0912,59,0.13116,40,-0.4774,37,-0.6148,103,1.01401,38,-0.5461
ENSG00000175756,AURKAIP1,218,0.68583,141,-0.0179,97,-0.5935,121,-0.2521,162,0.19808,115,-0.3327,132,-0.1268,138,-0.0487,115,-0.3389,244,0.87154,94,-0.6359
ENSG00000221978,CCNL2,29,-0.9507,66,0.33488,54,0.00132,65,0.30223,32,-0.7970,78,0.60259,57,0.11361,51,-0.0901,55,0.03942,49,-0.1334,51,-0.0949
ENSG00000242485,MRPL20,161,-0.1836,255,0.54634,203,0.17904,213,0.25496,144,-0.3580,194,0.10638,156,-0.2519,145,-0.3401,165,-0.1457,208,0.22123,173,-0.0726
ENSG00000235098,ANKRD65,14,-0.8252,34,0.57305,16,-0.5457,47,1.10933,13,-0.8994,25,0.06561,23,-0.0399,4,-2.4826,22,-0.1000,42,0.89845,21,-0.1824
ENSG00000179403,VWA1,13,-1.5696,30,-0.2954,21,-0.8740,34,-0.1088,37,0.02089,28,-0.4227,43,0.28011,21,-0.8683,74,1.13044,76,1.18668,21,-0.8481
ENSG00000205090,TMEM240,2,-3.8536,29,0.09811,16,-0.8064,33,0.29653,8,-1.8124,54,1.10915,30,0.17027,74,1.65074,22,-0.3056,20,-0.4791,10,-1.5297
ENSG00000160075,SSU72,163,-0.1563,219,0.31269,189,0.07681,225,0.35428,228,0.37654,185,0.04205,189,0.08584,119,-0.6351,144,-0.3461,158,-0.2016,151,-0.2728
ENSG00000228594,FNDC10,67,-0.1091,178,1.51690,120,0.84276,103,0.58585,32,-1.2324,62,-0.2247,92,0.45537,14,-2.3712,25,-1.5528,26,-1.5078,45,-0.7106
ENSG00000272106,AL691432.2,10,-1.9073,39,0.04674,22,-0.8027,47,0.34350,36,-0.0858,33,-0.2160,39,0.06658,69,0.97623,46,0.31237,26,-0.5447,46,0.30666
ENSG00000197530,MIB2,20,-0.7825,44,0.41143,40,0.25570,65,1.04611,28,-0.2879,42,0.32938,27,-0.4233,33,-0.0537,25,-0.4891,30,-0.1888,28,-0.2911
ENSG00000189339,SLC35E2B,15,-1.0646,42,0.56558,33,0.15169,27,-0.1610,28,-0.0970,41,0.52212,44,0.71991,29,-0.0283,17,-0.8485,13,-1.2244,23,-0.4137
ENSG00000215790,SLC35E2A,10,-0.9658,17,-0.1539,19,-0.0461,30,0.72601,6,-1.7681,20,0.04109,19,-0.0366,32,0.82836,13,-0.5837,10,-0.9526,36,0.98635
