Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000228794,LINC01128,18,-0.4565,24,-0.0191,14,-0.9004,20,-0.3262,35,0.73181,24,-0.0063,20,-0.2844,27,0.15748
ENSG00000187634,SAMD11,34,0.88381,72,2.24442,38,1.23767,0,-6.4245,7,-1.5955,4,-2.3489,11,-0.7847,7,-1.4839
ENSG00000188976,NOC2L,30,-0.3821,58,0.64141,31,-0.3876,62,0.75015,43,0.21553,40,0.06946,28,-0.4998,27,-0.5684
ENSG00000188290,HES4,140,0.77275,59,-0.5957,62,-0.5603,114,0.42478,79,-0.1818,139,0.75016,58,-0.6173,86,-0.0180
ENSG00000187608,ISG15,83,0.86661,87,0.93609,43,-0.2033,63,0.41399,29,-0.9227,27,-0.9093,59,0.30679,46,-0.1048
ENSG00000078808,SDF4,115,0.25397,113,0.22583,121,0.37236,51,-1.0083,101,0.05906,73,-0.4648,89,-0.1505,95,-0.0495
ENSG00000176022,B3GALT6,44,0.13062,52,0.37816,51,0.39523,20,-1.1116,54,0.54020,26,-0.7120,36,-0.2073,25,-0.7982
ENSG00000160087,UBE2J2,17,-1.5848,56,0.17740,55,0.15971,44,-0.2139,70,0.68054,41,-0.3252,42,-0.2667,41,-0.3461
ENSG00000131584,ACAP3,28,-0.7438,42,-0.1399,55,0.32308,16,-1.5825,46,0.00381,95,1.17967,35,-0.4084,43,-0.0991
ENSG00000127054,INTS11,54,0.23479,54,0.23959,71,0.74097,15,-1.6753,47,0.03014,43,-0.1414,25,-0.9627,43,-0.1403
ENSG00000224051,CPTP,17,0.14622,14,-0.2190,8,-1.0556,0,-6.2019,21,0.56283,20,0.37861,25,0.72929,17,0.13950
ENSG00000107404,DVL1,64,0.23450,48,-0.2029,55,0.00024,49,-0.1831,57,0.06323,40,-0.4774,37,-0.6148,71,0.44263
ENSG00000175756,AURKAIP1,218,0.68583,141,-0.0179,109,-0.4495,162,0.19808,127,-0.2231,138,-0.0487,115,-0.3389,169,0.30270
ENSG00000221978,CCNL2,29,-0.9507,66,0.33488,59,0.17498,32,-0.7970,64,0.35699,51,-0.0901,55,0.03942,50,-0.1250
ENSG00000242485,MRPL20,161,-0.1836,255,0.54634,208,0.24106,144,-0.3580,169,-0.1343,145,-0.3401,165,-0.1457,190,0.08876
ENSG00000235098,ANKRD65,14,-0.8252,34,0.57305,32,0.51772,13,-0.8994,24,-0.0020,4,-2.4826,22,-0.1000,31,0.48813
ENSG00000179403,VWA1,13,-1.5696,30,-0.2954,27,-0.4853,37,0.02089,38,0.06779,21,-0.8683,74,1.13044,49,0.49197
ENSG00000205090,TMEM240,2,-3.8536,29,0.09811,25,-0.1822,8,-1.8124,38,0.67704,74,1.65074,22,-0.3056,15,-0.9853
ENSG00000160075,SSU72,163,-0.1563,219,0.31269,207,0.24501,228,0.37654,188,0.08106,119,-0.6351,144,-0.3461,155,-0.2586
ENSG00000228594,FNDC10,67,-0.1091,178,1.51690,112,0.81480,32,-1.2324,82,0.27485,14,-2.3712,25,-1.5528,36,-1.1324
ENSG00000272106,AL691432.2,10,-1.9073,39,0.04674,35,-0.1474,36,-0.0858,37,-0.0328,69,0.97623,46,0.31237,36,-0.0731
ENSG00000197530,MIB2,20,-0.7825,44,0.41143,53,0.78250,28,-0.2879,32,-0.1396,33,-0.0537,25,-0.4891,29,-0.2611
ENSG00000189339,SLC35E2B,15,-1.0646,42,0.56558,30,0.00261,28,-0.0970,43,0.77530,29,-0.0283,17,-0.8485,18,-0.8267
ENSG00000215790,SLC35E2A,10,-0.9658,17,-0.1539,25,0.42465,6,-1.7681,19,-0.0100,32,0.82836,13,-0.5837,23,0.29913
ENSG00000008130,NADK,28,-0.0254,35,0.28714,29,0.00696,10,-1.5823,35,0.35844,35,0.30275,27,-0.1096,25,-0.2564
ENSG00000078369,GNB1,289,-0.5386,410,0.00695,435,0.11016,439,0.11478,436,0.12848,424,0.05829,302,-0.4673,429,0.08492
ENSG00000187730,GABRD,3,-3.5041,10,-1.9151,5,-3.0083,0,-7.4257,1,-4.6684,327,4.99868,3,-3.3153,39,0.11204
ENSG00000067606,PRKCZ,80,-0.9592,197,0.43946,110,-0.5166,187,0.35257,167,0.20818,219,0.61171,130,-0.2199,132,-0.2201
ENSG00000162585,FAAP20,56,-0.3940,128,0.90484,81,0.19096,54,-0.4580,69,-0.1085,50,-0.5743,87,0.28269,65,-0.1961
ENSG00000157933,SKI,9,-2.0772,11,-1.6998,32,-0.1722,21,-0.8150,36,-0.0066,53,0.60735,41,0.20736,62,1.00227
ENSG00000157916,RER1,137,0.75376,125,0.59597,91,0.10655,69,-0.3394,79,-0.1589,69,-0.3393,86,0.00743,62,-0.5337
ENSG00000157911,PEX10,45,0.55831,33,0.03990,43,0.53581,11,-1.5430,34,0.13083,34,0.09770,38,0.28748,16,-1.0966
ENSG00000149527,PLCH2,0,-6.6860,1,-3.7618,12,-0.2890,18,0.33593,24,1.11441,15,0.07011,36,1.49250,3,-2.3060
ENSG00000157881,PANK4,4,-2.0279,18,-0.0539,18,0.02773,10,-0.9132,20,0.17923,32,0.89360,6,-1.6520,26,0.62441
ENSG00000197921,HES5,19,-2.3050,50,-0.8642,147,0.93841,112,0.37039,82,-0.1394,12,-2.9383,57,-0.6641,135,0.76636
ENSG00000272449,AL139246.5,13,-1.1630,23,-0.3260,62,1.53269,25,-0.1506,25,-0.1885,4,-2.6722,8,-1.9163,32,0.20404
ENSG00000157870,PRXL2B,39,-0.6512,50,-0.2938,76,0.41375,64,0.10712,88,0.77232,22,-1.5136,45,-0.4366,43,-0.5512
ENSG00000158109,TPRG1L,131,-0.2027,222,0.64166,139,-0.1130,125,-0.2693,189,0.47823,153,0.04740,92,-0.7342,108,-0.5310
ENSG00000116213,WRAP73,9,-0.7501,23,0.61809,20,0.43439,0,-4.8400,23,0.73072,14,-0.2218,4,-1.8621,15,-0.0975
ENSG00000130764,LRRC47,60,-0.7512,127,0.40392,86,-0.2396,82,-0.2878,142,0.75234,73,-0.4740,79,-0.3497,83,-0.3015
ENSG00000116198,CEP104,7,-1.5302,22,0.07668,24,0.27903,26,0.37577,20,-0.0776,20,-0.0782,32,0.68857,16,-0.3691
ENSG00000198912,C1orf174,21,0.25838,15,-0.3250,14,-0.4051,32,0.92784,28,0.86763,17,-0.1345,6,-1.6757,8,-1.3390
ENSG00000196581,AJAP1,5,-2.4458,17,-0.6687,19,-0.4731,2,-3.4727,38,0.79262,58,1.32571,21,-0.3140,27,0.09153
ENSG00000069424,KCNAB2,51,-0.6197,24,-1.7249,21,-2.0572,37,-1.1000,85,0.22004,244,2.00425,44,-0.8476,108,0.62586
ENSG00000116254,CHD5,50,-1.1337,59,-0.9043,109,0.03545,190,0.94310,170,0.99037,30,-1.9054,60,-0.8873,80,-0.4713
ENSG00000116251,RPL22,377,-0.3526,446,-0.0902,634,0.52601,520,0.15253,322,-0.6962,416,-0.1981,660,0.53515,508,0.12490
ENSG00000116237,ICMT,52,0.07800,78,0.72928,51,0.04216,45,-0.1378,32,-0.7686,93,1.03314,37,-0.4502,45,-0.1637
ENSG00000097021,ACOT7,292,-0.0552,433,0.57222,238,-0.4086,263,-0.2198,407,0.60144,236,-0.3896,179,-0.8084,267,-0.2145
ENSG00000162408,NOL9,24,-0.6389,35,-0.0907,41,0.18279,44,0.28842,39,0.12419,35,-0.0574,45,0.29772,29,-0.3714
ENSG00000162413,KLHL21,14,-1.5163,31,-0.2855,43,0.22588,87,1.35777,32,-0.3239,43,0.21131,46,0.30586,26,-0.6260
ENSG00000116273,PHF13,4,-2.3149,31,0.68786,21,0.07264,8,-1.2644,28,0.73906,13,-0.6063,11,-0.8262,22,0.14871
ENSG00000041988,THAP3,23,0.24052,37,1.00346,26,0.46078,3,-2.6348,23,0.27143,11,-0.9059,7,-1.4117,18,-0.1539
ENSG00000007923,DNAJC11,55,0.72628,20,-0.8621,41,0.30992,13,-1.4385,35,0.00487,48,0.50335,21,-0.7777,37,0.08857
ENSG00000171735,CAMTA1,122,-0.9676,181,-0.3606,233,0.03389,278,0.30763,357,0.93806,128,-0.8929,149,-0.6593,175,-0.4523
ENSG00000049245,VAMP3,41,-0.1958,109,1.41651,67,0.67375,34,-0.4840,21,-1.3906,26,-0.8759,107,1.38582,21,-1.2752
ENSG00000049246,PER3,18,-1.2250,37,-0.1023,53,0.51688,35,-0.1983,43,0.16714,31,-0.3719,39,-0.0510,41,0.03368
ENSG00000116288,PARK7,422,0.03817,458,0.16870,383,-0.1242,404,-0.0282,429,0.08006,402,-0.0381,349,-0.2565,426,0.05895
ENSG00000116285,ERRFI1,13,-0.8433,29,0.30630,13,-0.9344,33,0.51173,36,0.86013,22,-0.0827,19,-0.3467,17,-0.5731
ENSG00000162426,SLC45A1,22,-0.5367,18,-0.8296,21,-0.6470,52,0.79368,44,0.65521,29,-0.1452,19,-0.7531,33,0.05073
ENSG00000142599,RERE,50,-1.2044,118,0.08593,105,-0.1038,93,-0.2865,146,0.55009,91,-0.3194,84,-0.4279,126,0.21679
ENSG00000074800,ENO1,592,-0.0621,492,-0.3509,643,0.07307,750,0.31216,593,-0.0736,926,0.65412,602,-0.0367,484,-0.4077
