variable	samp	sampMean_spotSpear	sampMed_spotSpear	sampMean_botquint	sampMean_topquint	seqfish_clus	APorder_fig3d
Dlk1_1	V12D05-348_C1	-0.0942751591624749	-0.0956921127400741	-0.110749144091963	-0.074997367426373	26	c_ef
Dlk1_1	V12D05-348_D1	-0.090256648275498	-0.0915274811909111	-0.106983129061606	-0.0706341610567759	26	c_ef
Dlk1_1	V12D05-350_C1	-0.0919444650408872	-0.0915046769009301	-0.105970650395961	-0.0783555452220416	26	c_ef
Dlk1_1	V12D05-350_D1	-0.0923506963990157	-0.0927354958746257	-0.10693537528323	-0.0763826672477529	26	c_ef
Dlk1_1	V12D07-075_A1	-0.0844981566827149	-0.0850619109477752	-0.0988529581302438	-0.06960306502857	26	c_ef
Dlk1_1	V12D07-075_D1	-0.0787841374858515	-0.0787738860902981	-0.092749220362963	-0.0647239003373182	26	c_ef
Dlk1_1	V12Y31-080_A1	-0.0832634130246237	-0.0836496656528219	-0.0973649041464825	-0.0684606699629683	26	c_ef
Dlk1_1	V13M13-362_A1	-0.0785224022988714	-0.0779873263400339	-0.0942523559429734	-0.0637593926548329	26	c_ef
Dlk1_1	V13M13-362_D1	-0.089134808715273	-0.0897086911273896	-0.104908609956813	-0.0715506644017953	26	c_ef
Dlk1_1	V13Y24-346_C1	-0.075979492201649	-0.0761927097695076	-0.0921956352476336	-0.0593272106991756	26	c_ef
Dlk1_2	V12D05-348_C1	0.0989572341604659	0.0997439766173053	0.078219095754866	0.117208715466065	10	bc
Dlk1_2	V12D05-348_D1	0.101710865482668	0.102070749763702	0.0784186209456669	0.12272654205061	10	bc
Dlk1_2	V12D05-350_C1	0.100274522445248	0.101083323662816	0.0839862132612271	0.114728633138426	10	bc
Dlk1_2	V12D05-350_D1	0.108434362163623	0.109024433836884	0.0904375576263033	0.125340909660264	10	bc
Dlk1_2	V12D07-075_A1	0.0923715208414749	0.0919799458732354	0.0756872463213516	0.109910062066468	10	bc
Dlk1_2	V12D07-075_D1	0.0878841492855265	0.0877304322391612	0.0722809381318778	0.104232762465952	10	bc
Dlk1_2	V12Y31-080_A1	0.0965457784273539	0.0967186514480661	0.0795202851525944	0.113360957621684	10	bc
