gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank	n_naSamps
ENSG00000001630	CYP51A1	NA	NA	NA	213	NA	NA	NA	NA	213	7
ENSG00000004948	CALCR	NA	NA	NA	NA	NA	32	NA	NA	32	7
ENSG00000005486	RHBDD2	NA	NA	NA	NA	NA	NA	46	NA	46	7
ENSG00000006118	TMEM132A	88	NA	NA	NA	NA	NA	NA	NA	88	7
ENSG00000006128	TAC1	12	172	23	83	69	NA	NA	NA	71.8	3
ENSG00000006210	CX3CL1	154	NA	NA	NA	NA	NA	NA	NA	154	7
ENSG00000007168	PAFAH1B1	140	NA	NA	NA	NA	NA	NA	NA	140	7
ENSG00000007516	BAIAP3	NA	NA	NA	NA	NA	NA	NA	59	59	7
ENSG00000008056	SYN1	NA	NA	NA	NA	NA	NA	85	NA	85	7
ENSG00000008988	RPS20	NA	161	NA	NA	NA	NA	NA	NA	161	7
ENSG00000010404	IDS	45	NA	NA	246	221	NA	NA	NA	170.666666666667	5
ENSG00000011295	TTC19	NA	307	NA	NA	NA	NA	NA	NA	307	7
ENSG00000011465	DCN	NA	39	NA	NA	71	NA	NA	NA	55	6
ENSG00000014641	MDH1	NA	213	NA	NA	NA	NA	65	NA	139	6
ENSG00000015171	ZMYND11	133	NA	NA	NA	NA	NA	NA	NA	133	7
ENSG00000015592	STMN4	NA	244	NA	NA	NA	NA	NA	NA	244	7
ENSG00000018236	CNTN1	NA	NA	NA	149	NA	NA	NA	NA	149	7
ENSG00000018625	ATP1A2	NA	288	NA	189	NA	NA	NA	NA	238.5	6
ENSG00000019582	CD74	NA	NA	NA	NA	NA	NA	66	NA	66	7
ENSG00000021645	NRXN3	NA	NA	NA	NA	NA	35	NA	NA	35	7
ENSG00000022355	GABRA1	NA	190	NA	102	181	NA	NA	NA	157.666666666667	5
ENSG00000026025	VIM	175	65	NA	NA	NA	NA	NA	NA	120	6
ENSG00000031698	SARS	78	NA	NA	NA	NA	NA	NA	NA	78	7
ENSG00000034510	TMSB10	18	34	12	15	261	NA	22	57	59.8571428571429	1
ENSG00000035862	TIMP2	NA	NA	32	122	NA	NA	NA	NA	77	6
ENSG00000043093	DCUN1D1	164	NA	NA	NA	NA	NA	NA	NA	164	7
ENSG00000043355	ZIC2	NA	NA	NA	NA	NA	11	NA	NA	11	7
ENSG00000046653	GPM6B	NA	317	NA	135	NA	19	NA	NA	157	5
ENSG00000047648	ARHGAP6	NA	NA	NA	NA	173	NA	NA	NA	173	7
ENSG00000048540	LMO3	NA	NA	NA	167	NA	18	NA	NA	92.5	6
ENSG00000049656	CLPTM1L	142	NA	NA	NA	NA	NA	NA	NA	142	7
ENSG00000053438	NNAT	59	NA	NA	NA	NA	NA	NA	NA	59	7
