Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to8,Feature log2 fold change topic 2to8,Feature count topic 9to12,Feature log2 fold change topic 9to12
ENSG00000228794,LINC01128,18,-0.4565,25,0.11776,25,0.00976
ENSG00000187634,SAMD11,34,0.88381,24,0.89121,8,-1.6873
ENSG00000188976,NOC2L,30,-0.3821,44,0.52625,31,-0.4619
ENSG00000188290,HES4,140,0.77275,76,-0.4158,92,0.12912
ENSG00000187608,ISG15,83,0.86661,46,-0.1740,44,-0.1945
ENSG00000078808,SDF4,115,0.25397,101,0.11605,88,-0.2261
ENSG00000176022,B3GALT6,44,0.13062,48,0.60713,28,-0.7537
ENSG00000160087,UBE2J2,17,-1.5848,60,0.71459,41,-0.4068
ENSG00000131584,ACAP3,28,-0.7438,44,-0.1591,54,0.36806
ENSG00000127054,INTS11,54,0.23479,50,0.27660,38,-0.4036
ENSG00000224051,CPTP,17,0.14622,13,-0.5351,20,0.51775
ENSG00000107404,DVL1,64,0.23450,54,-0.0650,55,-0.0148
ENSG00000175756,AURKAIP1,218,0.68583,129,-0.3311,148,0.07967
ENSG00000221978,CCNL2,29,-0.9507,59,0.31950,51,-0.0934
ENSG00000242485,MRPL20,161,-0.1836,189,0.14513,173,-0.0985
ENSG00000235098,ANKRD65,14,-0.8252,26,0.33171,22,-0.1323
ENSG00000179403,VWA1,13,-1.5696,34,-0.2695,48,0.61072
ENSG00000205090,TMEM240,2,-3.8536,29,0.16854,31,0.30796
ENSG00000160075,SSU72,163,-0.1563,204,0.46705,143,-0.4697
ENSG00000228594,FNDC10,67,-0.1091,97,1.43772,28,-1.7307
ENSG00000272106,AL691432.2,10,-1.9073,37,-0.1172,47,0.49211
ENSG00000197530,MIB2,20,-0.7825,39,0.50654,29,-0.3313
ENSG00000189339,SLC35E2B,15,-1.0646,37,0.92843,20,-0.7331
ENSG00000215790,SLC35E2A,10,-0.9658,18,-0.1265,23,0.37681
ENSG00000008130,NADK,28,-0.0254,29,0.07585,28,-0.0745
ENSG00000078369,GNB1,289,-0.5386,433,0.20817,396,-0.0664
ENSG00000187730,GABRD,3,-3.5041,3,-4.4232,102,4.74954
ENSG00000067606,PRKCZ,80,-0.9592,158,0.18678,153,0.04890
ENSG00000162585,FAAP20,56,-0.3940,79,0.27964,67,-0.1831
ENSG00000157933,SKI,9,-2.0772,29,-0.6226,54,1.01544
ENSG00000157916,RER1,137,0.75376,88,0.06916,70,-0.4192
ENSG00000157911,PEX10,45,0.55831,33,0.14711,26,-0.4054
ENSG00000149527,PLCH2,0,-6.6860,16,0.53256,14,-0.0237
ENSG00000157881,PANK4,4,-2.0279,18,-0.0791,22,0.46453
ENSG00000197921,HES5,19,-2.3050,100,0.48515,85,-0.0886
ENSG00000272449,AL139246.5,13,-1.1630,35,0.99495,19,-0.7857
ENSG00000157870,PRXL2B,39,-0.6512,76,0.95968,38,-0.8778
ENSG00000158109,TPRG1L,131,-0.2027,170,0.52011,116,-0.5144
ENSG00000116213,WRAP73,9,-0.7501,19,0.69955,12,-0.5528
ENSG00000130764,LRRC47,60,-0.7512,115,0.60948,79,-0.4522
ENSG00000116198,CEP104,7,-1.5302,22,0.27202,21,0.05055
ENSG00000198912,C1orf174,21,0.25838,23,0.90961,9,-1.2130
ENSG00000196581,AJAP1,5,-2.4458,24,-0.1714,33,0.58978
ENSG00000069424,KCNAB2,51,-0.6197,51,-1.1127,126,1.29632
ENSG00000116254,CHD5,50,-1.1337,139,1.20623,62,-1.0307
