NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BROCKE_APOPTOSIS_REVERSED_BY_IL6	BROCKE_APOPTOSIS_REVERSED_BY_IL6	Details ...	63	-0.6250067	-2.4190943	0.0	0.0	0.0	498	tags=33%, list=10%, signal=37%	
LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	Details ...	22	-0.78429383	-2.4173284	0.0	0.0	0.0	275	tags=41%, list=6%, signal=43%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	59	-0.64395386	-2.3859112	0.0	4.152592E-4	0.001	776	tags=54%, list=16%, signal=64%	
TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL	TRAVAGLINI_LUNG_LIPOFIBROBLAST_CELL	Details ...	55	-0.6381837	-2.3716154	0.0	3.114444E-4	0.001	402	tags=38%, list=8%, signal=41%	
NABA_MATRISOME	NABA_MATRISOME	Details ...	128	-0.5288058	-2.3047905	0.0	0.0014933656	0.006	409	tags=31%, list=8%, signal=33%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	50	-0.6230102	-2.299376	0.0	0.0014551816	0.007	585	tags=42%, list=12%, signal=47%	
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE	Details ...	38	-0.66755486	-2.2957444	0.0	0.0012472986	0.007	388	tags=29%, list=8%, signal=31%	
AIZARANI_LIVER_C12_NK_NKT_CELLS_4	AIZARANI_LIVER_C12_NK_NKT_CELLS_4	Details ...	15	-0.8330856	-2.2902133	0.0	0.0012460945	0.008	268	tags=53%, list=6%, signal=56%	
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	Details ...	49	-0.62423354	-2.2736433	0.0	0.0016648774	0.012	388	tags=24%, list=8%, signal=26%	
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	Details ...	20	-0.7575625	-2.267356	0.0	0.0016252378	0.013	402	tags=50%, list=8%, signal=54%	
REACTOME_HSF1_ACTIVATION	REACTOME_HSF1_ACTIVATION	Details ...	21	-0.7466772	-2.2422924	0.0	0.0025014526	0.021	388	tags=33%, list=8%, signal=36%	
CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	CUI_DEVELOPING_HEART_VALVAR_ENDOTHELIAL_CELL	Details ...	48	-0.6146018	-2.242056	0.0	0.0022929981	0.021	162	tags=27%, list=3%, signal=28%	
GERHOLD_ADIPOGENESIS_DN	GERHOLD_ADIPOGENESIS_DN	Details ...	25	-0.7162503	-2.2381253	0.0	0.002214845	0.022	275	tags=40%, list=6%, signal=42%	
GOMF_PROTEIN_FOLDING_CHAPERONE	GOMF_PROTEIN_FOLDING_CHAPERONE	Details ...	32	-0.6595228	-2.2371316	0.0	0.0020566417	0.022	164	tags=25%, list=3%, signal=26%	
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	Details ...	49	-0.61395836	-2.2265038	0.0	0.002337559	0.027	360	tags=33%, list=7%, signal=35%	
MCLACHLAN_DENTAL_CARIES_UP	MCLACHLAN_DENTAL_CARIES_UP	Details ...	53	-0.6002893	-2.2185035	0.0	0.0021914614	0.027	581	tags=40%, list=12%, signal=45%	
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	Details ...	80	-0.5524426	-2.2138464	0.0	0.0021362044	0.028	768	tags=39%, list=16%, signal=45%	
