,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1,0.96,1,0.56,0,0.98,0,0.01,0.67,1,1,1,1,1,1
cluster 2,0.79,0.39,0.98,0.59,0.55,1,0.54,0.01,0.56,0.93,1,0.39,0.97,0.37
cluster 3,0.01,1,0.56,0.72,0.88,0.98,0.87,0.15,1,0.79,1,0,1,1
cluster 4,1,1,0.01,0.17,0.33,0.02,0.13,0,0.17,0,0.79,0,0.72,1
cluster 5,0.08,1,0,0,0,1,0,0,1,1,1,0,0,0.64
cluster 6,1,1,0,0.97,0.02,1,0,0.19,0.07,0.39,1,0,1,1
cluster 7,1,1,1,1,0.54,0.67,1,0.39,0.09,1,0.56,0.02,0.58,0.49
cluster 8,1,1,1,0.01,0.92,1,1,0.41,0.86,0.34,0.43,0,0.85,0
cluster 9,1,1,0.2,0,0.79,0.15,1,1,0,0.19,0.02,0.67,0.45,0.06
cluster 10,1,1,0,0.79,0,0,0.01,0,0,0.06,0.14,0.05,0.44,0.79
cluster 11,1,1,0.06,0.96,0.58,0.41,1,1,0.49,1,1,0.98,1,0.47
cluster 12,0.79,0.97,1,1,0.59,1,0.57,0.19,0.86,1,1,0.42,0.15,0.49
cluster 13,0.37,0.98,0,0.56,0.01,0.21,0.21,0.03,0.04,0.13,0.25,0.19,1,1
cluster 14,1,1,0.3,0.94,0.11,0.98,0.56,NA,0.64,0.79,0.54,0.97,1,0.65
cluster 15,0.54,1,1,0.78,0.86,0.16,0.82,0.79,0.6,0.97,1,0.21,1,1
cluster 16,0.67,1,0.37,1,0.01,0.04,0.39,NA,0.95,0.95,1,1,NA,0.56
cluster 17,0.96,1,0.97,0.97,1,0.55,1,0.13,0.38,1,0.72,0.41,0.07,1
cluster 18,0.97,NA,0.3,0.59,0.18,0.97,0.59,NA,0.05,0.99,0.69,0.24,0.98,NA
cluster 19,0.98,0.98,0.54,0.67,0.41,0.21,0.97,NA,0.69,0.98,0.97,0.55,NA,1
