,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1,1,0,0,1,1,0.09,1,0,1,1,0,1,0,0.17,1
cluster 2,1,0.5,1,1,1,0.01,1,0,1,0,1,1,0,1,1
cluster 3,1,0.09,0,1,0.39,0.58,1,0,1,0.47,1,0.89,0.01,0.43,1
cluster 4,1,0,0,1,1,0,1,0,1,1,1,0.9,0.17,1,1
cluster 5,1,1,1,1,1,0.35,0.61,0,1,0.26,1,1,0,1,1
cluster 6,0.93,0.14,0,1,1,0,1,0,1,1,0.68,0,0,1,1
cluster 7,1,0.21,0.2,1,1,0.05,1,0,1,0,1,1,0.18,1,1
cluster 8,1,0.79,1,1,1,0.01,1,0.18,1,1,0,1,0.38,1,1
cluster 9,1,0,1,1,1,0,1,0,1,0,0,1,0,0.68,1
cluster 10,1,0,1,1,1,0.67,1,0,1,0.73,1,1,0,1,1
cluster 11,1,0,1,1,1,0,0.86,0,1,0,0,1,0,1,1
cluster 12,1,0,0,1,1,0,1,0,1,0,1,0.01,0,1,1
cluster 13,1,1,1,1,1,1,1,0.65,1,1,0.49,1,0.48,1,0.35
cluster 14,1,0,0.58,1,1,0.89,1,0,1,0.4,0,0.12,0,0.47,1
cluster 15,1,0,0,0,1,0,1,0.01,1,0,0.16,0,0.39,1,1
cluster 16,1,0,0,1,1,0.74,1,0,1,0.19,1,0,0,1,1
cluster 17,0.49,0.22,1,1,1,0.06,1,0.04,1,0.21,1,1,1,1,1
cluster 18,1,NA,NA,0.49,0.13,NA,NA,0.03,0.14,1,1,0.27,NA,NA,0.23
cluster 19,1,1,1,1,1,NA,1,1,1,0.11,1,0.85,0.89,1,1
