NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SHARMA_ASTROCYTOMA_WITH_NF1_SYNDROM	5		Rejected!	
SOGA_COLORECTAL_CANCER_MYC_DN	71	60		
SOGA_COLORECTAL_CANCER_MYC_UP	82	79		
CORONEL_RFX7_DIRECT_TARGETS_UP	44	43		
FOROUTAN_TGFB_EMT_UP	192	169		
FOROUTAN_TGFB_EMT_DN	108	78		
FOROUTAN_PRODRANK_TGFB_EMT_UP	185	163		
FOROUTAN_PRODRANK_TGFB_EMT_DN	82	63		
FOROUTAN_INTEGRATED_TGFB_EMT_UP	120	104		
FOROUTAN_INTEGRATED_TGFB_EMT_DN	74	47		
GLASS_IGF2BP1_CLIP_TARGETS_KNOCKDOWN_DN	117	100		
HOUNKPE_HOUSEKEEPING_GENES	1129		Rejected!	
IBRAHIM_NRF1_UP	419	408		
IBRAHIM_NRF2_UP	533		Rejected!	
IBRAHIM_NRF3_UP	7		Rejected!	
IBRAHIM_NRF1_DOWN	167	139		
IBRAHIM_NRF2_DOWN	168	139		
IBRAHIM_NRF3_DOWN	15		Rejected!	
SEAVEY_EPITHELIOID_HEMANGIOENDOTHELIOMA	93	61		
BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE	48	43		
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_UP	12		Rejected!	
BLANCO_MELO_SARS_COV_1_INFECTION_MCR5_CELLS_DN	9		Rejected!	
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_UP	298	166		
BLANCO_MELO_MERS_COV_INFECTION_MCR5_CELLS_DN	37	30		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_UP	41	35		
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	118	100		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_UP	204	165		
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	122	67		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	286	208		
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	119	65		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_UP	86	54		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	77	38		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_UP	339	226		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_CALU3_CELLS_DN	24		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	174	107		
BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	14		Rejected!	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	545	369		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_DN	96	73		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_UP	486	311		
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	76	56		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	144	90		
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	59	45		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	378	295		
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	216	108		
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_INFECTION_UP	137	110		
