NAME	TITLE	SCORE	
NR5A1	nuclear receptor subfamily 5 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7983]	3.2647383	
FEZF1	FEZ family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:22788]	3.1587708	
SOX14	SRY-box transcription factor 14 [Source:HGNC Symbol;Acc:HGNC:11193]	3.078507	
KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	3.0386145	
NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	3.0184274	
TMEM215	transmembrane protein 215 [Source:HGNC Symbol;Acc:HGNC:33816]	2.82191	
ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	2.6691558	
SOSTDC1	sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]	2.6339924	
HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:5200]	2.610742	
ANKRD34B	ankyrin repeat domain 34B [Source:HGNC Symbol;Acc:HGNC:33736]	2.5474699	
SLC17A6	solute carrier family 17 member 6 [Source:HGNC Symbol;Acc:HGNC:16703]	2.5300214	
LINC01615	long intergenic non-protein coding RNA 1615 [Source:HGNC Symbol;Acc:HGNC:51898]	2.4993112	
DGKK	diacylglycerol kinase kappa [Source:HGNC Symbol;Acc:HGNC:32395]	2.4975834	
ICAM5	intercellular adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:5348]	2.3409276	
LAMP5	lysosomal associated membrane protein family member 5 [Source:HGNC Symbol;Acc:HGNC:16097]	2.3314817	
LBHD2	LBH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:52384]	2.322715	
RBFOX1	RNA binding fox-1 homolog 1 [Source:HGNC Symbol;Acc:HGNC:18222]	2.3184729	
FEZF1-AS1	FEZF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41001]	2.316079	
GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	2.2298884	
TMEM233	transmembrane protein 233 [Source:HGNC Symbol;Acc:HGNC:37219]	2.2103722	
VGLL2	vestigial like family member 2 [Source:HGNC Symbol;Acc:HGNC:20232]	2.1868112	
BDNF	brain derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:1033]	2.1806931	
CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	2.1241834	
GPR6	G protein-coupled receptor 6 [Source:HGNC Symbol;Acc:HGNC:4515]	2.079577	
KRT8	keratin 8 [Source:HGNC Symbol;Acc:HGNC:6446]	2.0737586	
NXPH2	neurexophilin 2 [Source:HGNC Symbol;Acc:HGNC:8076]	2.0551615	
PCP4L1	Purkinje cell protein 4 like 1 [Source:HGNC Symbol;Acc:HGNC:20448]	2.0530462	
C6orf141	chromosome 6 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:21351]	2.0459306	
SYT6	synaptotagmin 6 [Source:HGNC Symbol;Acc:HGNC:18638]	2.0208018	
FRMPD2	FERM and PDZ domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28572]	2.018594	
KISS1R	KISS1 receptor [Source:HGNC Symbol;Acc:HGNC:4510]	1.9950422	
CHRM1	cholinergic receptor muscarinic 1 [Source:HGNC Symbol;Acc:HGNC:1950]	1.9942887	
DDN	dendrin [Source:HGNC Symbol;Acc:HGNC:24458]	1.9729792	
KCNA1	potassium voltage-gated channel subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:6218]	1.9546583	
NPTX1	neuronal pentraxin 1 [Source:HGNC Symbol;Acc:HGNC:7952]	1.9338994	
PLCXD2	phosphatidylinositol specific phospholipase C X domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26462]	1.9096118	
NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	1.8945593	
CLEC4G	C-type lectin domain family 4 member G [Source:HGNC Symbol;Acc:HGNC:24591]	1.8877993	
RPRML	reprimo like [Source:HGNC Symbol;Acc:HGNC:32422]	1.886575	
NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	1.8615035	
