label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex
AD	0.41	1	9	83	1	1463	ATP5F1C	X1_MaleUp
BMI	0.88	1	9	513	2	1463	ATP5F1C , DDAH1	X1_MaleUp
ADHD	1	1	9	63	0	1463		X1_MaleUp
ASD	1	1	9	119	0	1463		X1_MaleUp
AUD	1	1	9	32	0	1463		X1_MaleUp
OUD	1	1	9	23	0	1463		X1_MaleUp
CUD	1	1	9	8	0	1463		X1_MaleUp
MDD	1	1	9	251	0	1463		X1_MaleUp
PTSD	1	1	9	2	0	1463		X1_MaleUp
Anorexia	1	1	9	11	0	1463		X1_MaleUp
Lefthanded	1	1	9	5	0	1463		X1_MaleUp
BIP	1	1	9	32	0	1463		X1_MaleUp
OCD	1	1	9	28	0	1463		X1_MaleUp
GAD	1	1	9	7	0	1463		X1_MaleUp
SCZ	1	1	9	225	0	1463		X1_MaleUp
NDD	1	1	9	163	0	1463		X1_MaleUp
Panic	1	1	9	8	0	1463		X1_MaleUp
TS	1	1	9	2	0	1463		X1_MaleUp
BMI	0.35	1	1	813	1	2342	PPM1A	X2_MaleUp
ADHD	1	1	1	104	0	2342		X2_MaleUp
ASD	1	1	1	183	0	2342		X2_MaleUp
AUD	1	1	1	43	0	2342		X2_MaleUp
OUD	1	1	1	35	0	2342		X2_MaleUp
CUD	1	1	1	8	0	2342		X2_MaleUp
MDD	1	1	1	424	0	2342		X2_MaleUp
PTSD	1	1	1	7	0	2342		X2_MaleUp
AD	1	1	1	122	0	2342		X2_MaleUp
Anorexia	1	1	1	19	0	2342		X2_MaleUp
Lefthanded	1	1	1	10	0	2342		X2_MaleUp
BIP	1	1	1	48	0	2342		X2_MaleUp
OCD	1	1	1	49	0	2342		X2_MaleUp
GAD	1	1	1	10	0	2342		X2_MaleUp
SCZ	1	1	1	361	0	2342		X2_MaleUp
NDD	1	1	1	255	0	2342		X2_MaleUp
Panic	1	1	1	16	0	2342		X2_MaleUp
TS	1	1	1	7	0	2342		X2_MaleUp
ASD	0.00087	0.016	123	869	20	11491	WNT3 , AGO3 , AKAP9 , ANKRD17 , BRD4 , CDKL5 , CSMD1 , EFR3A , GABRA3 , KCNQ3 , KDM5B , KMT2C , MED13L , PTEN , RAD21 , SETD2 , TANC2 , TNRC6C , TSC1 , WAC	X3_MaleUp
PTSD	0.043	0.32	123	31	2	11491	WNT3 , WDR55	X3_MaleUp
TS	0.054	0.32	123	35	2	11491	ZNF382 , UBAP2	X3_MaleUp
NDD	0.11	0.49	123	1155	17	11491	RAD21 , MED13L , PTEN , WNT3 , CUL4B , TSC1 , ATM , CDKL5 , KDM5B , WAC , SETD2 , VPS53 , BRD4 , SEMA3A , ANKRD17 , KMT2C , TANC2	X3_MaleUp
CUD	0.28	0.99	123	31	1	11491	PENK	X3_MaleUp
MDD	0.33	0.99	123	1939	23	11491	ZNF638 , WDR55 , POLI , AKAP9 , TTC28-AS1 , TANC2 , ZNF236 , URI1 , CSNK1G1 , PBRM1 , AMPH , YLPM1 , CSMD1 , MIER1 , TYW3 , CREB1 , CCNC , CDR2 , CHD6 , RAPH1 , GABRA3 , PENK , IFI6	X3_MaleUp
GAD	0.4	1	123	48	1	11491	WNT3	X3_MaleUp
OUD	0.47	1	123	148	2	11491	IFI6 , PENK	X3_MaleUp
AUD	0.6	1	123	186	2	11491	CREB1 , UBAP2	X3_MaleUp
AD	0.68	1	123	532	5	11491	CSNK1G1 , SLTM , ZKSCAN1 , WDR55 , SAP130	X3_MaleUp
OCD	0.92	1	123	236	1	11491	AGO3	X3_MaleUp
ADHD	0.93	1	123	536	3	11491	ARID4A , RMI1 , BRWD1	X3_MaleUp
BIP	0.95	1	123	282	1	11491	PBRM1	X3_MaleUp
BMI	0.97	1	123	3576	29	11491	URI1 , ATM , KBTBD11 , PBRM1 , PCYT1A , WDR55 , BRWD1 , CREB1 , OBI1 , PLEKHA5 , ZKSCAN1 , SETD2 , TYW3 , FER , IFI6 , PTEN , ARID4A , MTFMT , RAPH1 , RBM33 , TNRC6A , BRD4 , ZNF512 , TSC1 , PLCB4 , NFYB , NCOA7 , TNRC6C , AGO3	X3_MaleUp
SCZ	0.99	1	123	1635	10	11491	CSMD1 , ENOX1 , NSUN6 , WNT3 , PBRM1 , WDR55 , CREB1 , SEMA3A , ATM , KCNQ3	X3_MaleUp
Anorexia	1	1	123	72	0	11491		X3_MaleUp
Lefthanded	1	1	123	29	0	11491		X3_MaleUp
Panic	1	1	123	44	0	11491		X3_MaleUp
MDD	0.077	0.53	65	1974	16	11572	IST1 , ESRRG , TAOK2 , THAP5 , AP1G1 , CDKL2 , ADRA1D , CSNK1G1 , PDE10A , ZFYVE1 , ADCY2 , QSER1 , WFS1 , RORA , DUSP4 , GRM1	X4_MaleUp
AD	0.084	0.53	65	544	6	11572	CSNK1G1 , TAOK2 , ZNF652 , CLEC16A , KCNJ3 , CENPC	X4_MaleUp
AUD	0.09	0.53	65	189	3	11572	GRM1 , PDE10A , GRM3	X4_MaleUp
ASD	0.12	0.53	65	877	8	11572	AUTS2 , EMSY , KIAA0232 , MARK2 , RORA , TAF1 , TAOK2 , ZC3H4	X4_MaleUp
ADHD	0.18	0.53	65	533	5	11572	KDM4A , TMEM200C , EMSY , TGFA , GRM1	X4_MaleUp
NDD	0.2	0.53	65	1163	9	11572	AUTS2 , SLC12A6 , SOX2 , GRM1 , TAF1 , PDE10A , RORA , WFS1 , FRY	X4_MaleUp
SCZ	0.21	0.53	65	1647	12	11572	GRM1 , GRM3 , KDM4A , MMP16 , TAOK2 , CORO7 , MARK2 , YY1AP1 , THAP5 , RASD2 , AUTS2 , KCNJ3	X4_MaleUp
BMI	0.26	0.57	65	3577	23	11572	ZNF394 , UBXN10 , TGFA , ZFYVE1 , CENPC , EMSY , AP1G1 , KIT , ZRANB1 , TAOK2 , MMP16 , MARK2 , KIAA0232 , YY1AP1 , MEF2D , CORO7 , ZC3H4 , FRY , GRM3 , ORMDL3 , AUTS2 , IST1 , RASD2	X4_MaleUp
BIP	0.48	0.97	65	288	2	11572	MARK2 , ADCY2	X4_MaleUp
OUD	0.58	1	65	152	1	11572	TAOK2	X4_MaleUp
CUD	1	1	65	28	0	11572		X4_MaleUp
PTSD	1	1	65	30	0	11572		X4_MaleUp
Anorexia	1	1	65	73	0	11572		X4_MaleUp
Lefthanded	1	1	65	28	0	11572		X4_MaleUp
OCD	1	1	65	235	0	11572		X4_MaleUp
GAD	1	1	65	47	0	11572		X4_MaleUp
Panic	1	1	65	43	0	11572		X4_MaleUp
TS	1	1	65	35	0	11572		X4_MaleUp
ASD	0.033	0.6	351	914	35	12622	WNT3 , KANSL1-AS1 , AGAP1 , AGO3 , ANK3 , ANKRD17 , BRAF , BRD4 , CACNA2D3 , CAMK4 , CLASP1 , CNTN6 , DNMT3A , DCC , ECPAS , EXOC6B , FAN1 , GABRA3 , GPD2 , GRIP1 , GUCY1A2 , HNRNPUL2 , HS3ST5 , KATNAL1 , KCNQ3 , MBD5 , NAV3 , NRXN3 , NSD1 , PRICKLE2 , RPS6KA3 , SAMD11 , SLC22A15 , RYR2 , SLC16A2	X5_MaleUp
Panic	0.16	0.76	351	49	3	12622	FAR1 , DNM1L , SYT10	X5_MaleUp
GAD	0.18	0.76	351	52	3	12622	WNT3 , KANSL1-AS1 , MAGI2	X5_MaleUp
AUD	0.19	0.76	351	200	8	12622	FAM43B , ALDH1A1 , CNTN6 , GRM3 , NTS , PIK3R1 , NRXN3 , NAP1L4	X5_MaleUp
