Ensembl ID	Gene Name	Order
ENSG00000125257	ABCC4	second
ENSG00000099204	ABLIM1	second
ENSG00000173210	ABLIM3	second
ENSG00000130234	ACE2	first
ENSG00000138071	ACTR2	second
ENSG00000151694	ADAM17	second
ENSG00000173157	ADAMTS20	first
ENSG00000163638	ADAMTS9	first
ENSG00000138031	ADCY3	first
ENSG00000173175	ADCY5	first
ENSG00000174233	ADCY6	first
ENSG00000164199	ADGRV1	first
ENSG00000173467	AGR3	second
ENSG00000135541	AHI1	first
ENSG00000129221	AIPL1	first
ENSG00000140057	AK7	first
ENSG00000165695	AK8	first
ENSG00000142208	AKT1	second
ENSG00000116127	ALMS1	first
ENSG00000073331	ALPK1	first
ENSG00000176248	ANAPC2	first
ENSG00000107890	ANKRD26	first
ENSG00000168096	ANKS3	first
ENSG00000165138	ANKS6	first
ENSG00000131620	ANO1	first
ENSG00000047617	ANO2	first
ENSG00000168374	ARF4	second
ENSG00000147256	ARHGAP36	second
ENSG00000169379	ARL13B	first
ENSG00000213465	ARL2	first
ENSG00000102931	ARL2BP	second
ENSG00000138175	ARL3	second
ENSG00000113966	ARL6	first
ENSG00000169126	ARMC4	first
ENSG00000135931	ARMC9	first
ENSG00000153317	ASAP1	second
ENSG00000137343	ATAT1	second
ENSG00000144848	ATG3	first
ENSG00000057663	ATG5	first
ENSG00000166454	ATMIN	second
ENSG00000172238	ATOH1	second
ENSG00000105675	ATP4A	second
ENSG00000087586	AURKA	first
ENSG00000108641	B9D1	first
ENSG00000123810	B9D2	first
ENSG00000204463	BAG6	second
ENSG00000214413	BBIP1	first
ENSG00000119636	BBOF1	first
ENSG00000174483	BBS1	first
ENSG00000179941	BBS10	first
ENSG00000181004	BBS12	first
ENSG00000125124	BBS2	first
ENSG00000140463	BBS4	first
ENSG00000163093	BBS5	first
ENSG00000138686	BBS7	first
ENSG00000122507	BBS9	first
ENSG00000166352	C11orf74	first
ENSG00000168014	C2CD3	first
ENSG00000156172	C8orf37	first
ENSG00000151067	CACNA1C	first
ENSG00000158428	CATIP	second
ENSG00000105974	CAV1	first
ENSG00000100211	CBY1	first
ENSG00000048342	CC2D2A	first
ENSG00000167131	CCDC103	first
ENSG00000105479	CCDC114	first
ENSG00000244607	CCDC13	first
ENSG00000198003	CCDC151	first
ENSG00000117477	CCDC181	first
ENSG00000160050	CCDC28B	first
ENSG00000145075	CCDC39	first
ENSG00000141519	CCDC40	first
ENSG00000139537	CCDC65	first
ENSG00000180376	CCDC66	first
ENSG00000162004	CCDC78	first
ENSG00000152669	CCNO	second
ENSG00000103540	CCP110	first
ENSG00000166226	CCT2	first
ENSG00000079335	CDC14A	first
ENSG00000117399	CDC20	first
ENSG00000107736	CDH23	first
ENSG00000185324	CDK10	first
ENSG00000156345	CDK20	first
ENSG00000008086	CDKL5	first
ENSG00000111276	CDKN1B	second
ENSG00000143126	CELSR2	second
ENSG00000008300	CELSR3	second
ENSG00000117724	CENPF	first
ENSG00000151849	CENPJ	first
ENSG00000116198	CEP104	first
ENSG00000168944	CEP120	first
ENSG00000100629	CEP128	first
ENSG00000141577	CEP131	first
ENSG00000174799	CEP135	first
ENSG00000135315	CEP162	first
ENSG00000110274	CEP164	first
ENSG00000143702	CEP170	first
ENSG00000174007	CEP19	first
ENSG00000126001	CEP250	first
ENSG00000198707	CEP290	first
ENSG00000135837	CEP350	first
ENSG00000106477	CEP41	first
ENSG00000011523	CEP68	first
ENSG00000112877	CEP72	first
ENSG00000148019	CEP78	first
ENSG00000173588	CEP83	first
ENSG00000121289	CEP89	first
ENSG00000182504	CEP97	first
ENSG00000147400	CETN2	first
ENSG00000153140	CETN3	first
ENSG00000163885	CFAP100	first
ENSG00000188931	CFAP126	first
ENSG00000160401	CFAP157	first
ENSG00000163075	CFAP221	first
ENSG00000159079	CFAP298	first
ENSG00000137691	CFAP300	first
ENSG00000163001	CFAP36	first
ENSG00000160226	CFAP410	first
ENSG00000197748	CFAP43	first
ENSG00000166596	CFAP52	second
ENSG00000172361	CFAP53	first
