Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to12,Feature log2 fold change topic 10to12
ENSG00000228794,LINC01128,18,-0.4565,17,-0.6114,20,-0.3262,35,0.73181,24,-0.0063,25,0.01413
ENSG00000187634,SAMD11,34,0.88381,49,2.30080,0,-6.4245,7,-1.5955,4,-2.3489,9,-1.3329
ENSG00000188976,NOC2L,30,-0.3821,40,0.05181,62,0.75015,43,0.21553,40,0.06946,27,-0.6100
ENSG00000188290,HES4,140,0.77275,61,-0.6404,114,0.42478,79,-0.1818,139,0.75016,77,-0.2335
ENSG00000187608,ISG15,83,0.86661,58,0.33612,63,0.41399,29,-0.9227,27,-0.9093,50,0.06012
ENSG00000078808,SDF4,115,0.25397,118,0.37457,51,-1.0083,101,0.05906,73,-0.4648,93,-0.0966
ENSG00000176022,B3GALT6,44,0.13062,51,0.45699,20,-1.1116,54,0.54020,26,-0.7120,29,-0.6407
ENSG00000160087,UBE2J2,17,-1.5848,56,0.19245,44,-0.2139,70,0.68054,41,-0.3252,41,-0.3597
ENSG00000131584,ACAP3,28,-0.7438,51,0.19611,16,-1.5825,46,0.00381,95,1.17967,41,-0.2288
ENSG00000127054,INTS11,54,0.23479,65,0.67567,15,-1.6753,47,0.03014,43,-0.1414,37,-0.4317
ENSG00000224051,CPTP,17,0.14622,10,-0.8049,0,-6.2019,21,0.56283,20,0.37861,20,0.44077
ENSG00000107404,DVL1,64,0.23450,53,-0.0788,49,-0.1831,57,0.06323,40,-0.4774,59,0.14826
ENSG00000175756,AURKAIP1,218,0.68583,120,-0.3253,162,0.19808,127,-0.2231,138,-0.0487,151,0.11268
ENSG00000221978,CCNL2,29,-0.9507,62,0.27258,32,-0.7970,64,0.35699,51,-0.0901,52,-0.0746
ENSG00000242485,MRPL20,161,-0.1836,223,0.41972,144,-0.3580,169,-0.1343,145,-0.3401,182,0.01017
ENSG00000235098,ANKRD65,14,-0.8252,33,0.63914,13,-0.8994,24,-0.0020,4,-2.4826,28,0.34367
ENSG00000179403,VWA1,13,-1.5696,28,-0.4700,37,0.02089,38,0.06779,21,-0.8683,57,0.91237
ENSG00000205090,TMEM240,2,-3.8536,26,-0.0896,8,-1.8124,38,0.67704,74,1.65074,17,-0.8045
ENSG00000160075,SSU72,163,-0.1563,211,0.31458,228,0.37654,188,0.08106,119,-0.6351,151,-0.3266
ENSG00000228594,FNDC10,67,-0.1091,134,1.39252,32,-1.2324,82,0.27485,14,-2.3712,32,-1.3782
