,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1----astrocytes,,F > M (FC=4.5),,,,,,F > M (FC=1.6),,,F > M (FC=1.7),,,,
cluster 2----likely more than one cell types,,,,F < M (FC=1.9),,F > M (FC=1.5),,F > M (FC=3),,,,,,,
cluster 3----myelinating oligodendrocytes,,,,,,,,F > M (FC=5.5),,,,,,,
cluster 4----microglia,,F > M (FC=4.2),,,,F > M (FC=5.3),,F > M (FC=3),,,,,,,
cluster 5----,,,,,,,,F > M (FC=1.9),,,,,,,
cluster 6----oligodendrocyte precursor,,,,,,F > M (FC=2.5),,F > M (FC=27.6),,,,F > M (FC=3.7),F > M (FC=1.5),,F < M (FC=2)
cluster 7----immune related,F < M (FC=1.7),,,,,,,F > M (FC=6.5),,,,,,,
cluster 8----epithelial cells,,,,,,F > M (FC=35.6),,,,,F > M (FC=2.4),,,,
cluster 9----astrocytes,,F > M (FC=Inf),,,,F > M (FC=3.1),,F > M (FC=5.9),F < M (FC=1.5),F > M (FC=1.9),F > M (FC=6.5),,F > M (FC=2.3),,
cluster 10----excitatory neurons,,F > M (FC=12.3),,,,,,F > M (FC=6.4),,,,,F > M (FC=1.5),,
cluster 11----,,F > M (FC=Inf),,,,F > M (FC=Inf),,F > M (FC=17.3),,F > M (FC=6),F > M (FC=3.6),,F > M (FC=9.9),,
cluster 12----POMC neuronal cells,,F > M (FC=1.7),,,F < M (FC=3.6),,F < M (FC=2.5),,,,,,,,
cluster 13----non-myelinating matureish(?) oligodendrocytes,,,,,,,,,,,,,,,
cluster 14----epithelial cells,,F > M (FC=Inf),,,,,,F > M (FC=2.7),,,F > M (FC=Inf),,F > M (FC=Inf),,F < M (FC=Inf)
cluster 15----,,,,F > M (FC=Inf),,,,F > M (FC=3.2),F < M (FC=4.6),,,F > M (FC=4),,,F < M (FC=2.6)
cluster 16----,F < M (FC=1.9),,F > M (FC=Inf),,F < M (FC=3.8),,,F > M (FC=Inf),F < M (FC=1.9),,F < M (FC=6.6),,,,
cluster 17----T cells,,,,,,,,F > M (FC=1.8),,,,,,,
cluster 18----AVP neurons,,,,,,,,F > M (FC=Inf),,,,,,,
cluster 19----monocyte,,,,,,,,,,,,,,,
