,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1----astrocytes,,F > M (FC=2.7),,,,,,,F > M (FC=1.5),,,,,F > M (FC=1.6)
cluster 2----likely more than one cell types,,,,,,,,F < M (FC=2.1),,,,,,
cluster 3----myelinating oligodendrocytes,,F > M (FC=1.9),,,,,,,,,,,,
cluster 4----microglia,,F > M (FC=1.7),,,,,,F < M (FC=2.3),,,,,,
cluster 5----,,,,,,,,F < M (FC=2.1),,,,,,
cluster 6----oligodendrocyte precursor,F > M (FC=2.2),F > M (FC=1.8),F < M (FC=1.8),,,,,,,,,,,
cluster 7----immune related,,,,,,,,,,,,,,
cluster 8----epithelial cells,F > M (FC=3.8),F > M (FC=2.5),,,,,,,,,,,,
cluster 9----astrocytes,,F > M (FC=7.8),,F < M (FC=1.7),,,F > M (FC=1.9),,F < M (FC=2.8),,F < M (FC=3.5),,,
cluster 10----excitatory neurons,,,,,,,,F < M (FC=1.9),,,,,,
cluster 11----,,F > M (FC=Inf),,,,,,F > M (FC=Inf),,,,,F > M (FC=Inf),
cluster 12----POMC neuronal cells,,,,,,,,,,,,,,
cluster 13----non-myelinating matureish(?) oligodendrocytes,,,F < M (FC=3.5),,F < M (FC=2.4),,,F < M (FC=Inf),,,,,,
cluster 14----epithelial cells,,,,,,,,,,,,,,
cluster 15----,,,,,,,,,,,,,,
cluster 16----,,,,,F < M (FC=4.3),F < M (FC=3.6),,,,,,,,
cluster 17----T cells,,,,,,,,,,,,,,
cluster 18----AVP neurons,,,,,,,,,F < M (FC=Inf),,,,,
cluster 19----monocyte,,,,,,,,,,,,,,
