Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to12,Feature log2 fold change topic 2to12
ENSG00000228794,LINC01128,18,-0.4565,25,0.45656
ENSG00000187634,SAMD11,34,0.88381,18,-0.8838
ENSG00000188976,NOC2L,30,-0.3821,39,0.38213
ENSG00000188290,HES4,140,0.77275,82,-0.7727
ENSG00000187608,ISG15,83,0.86661,45,-0.8666
ENSG00000078808,SDF4,115,0.25397,96,-0.2539
ENSG00000176022,B3GALT6,44,0.13062,41,-0.1306
ENSG00000160087,UBE2J2,17,-1.5848,53,1.58483
ENSG00000131584,ACAP3,28,-0.7438,48,0.74386
ENSG00000127054,INTS11,54,0.23479,46,-0.2347
ENSG00000224051,CPTP,17,0.14622,16,-0.1462
ENSG00000107404,DVL1,64,0.23450,54,-0.2345
ENSG00000175756,AURKAIP1,218,0.68583,136,-0.6858
ENSG00000221978,CCNL2,29,-0.9507,56,0.95070
ENSG00000242485,MRPL20,161,-0.1836,183,0.18362
ENSG00000235098,ANKRD65,14,-0.8252,25,0.82520
ENSG00000179403,VWA1,13,-1.5696,39,1.56967
ENSG00000205090,TMEM240,2,-3.8536,30,3.85363
ENSG00000160075,SSU72,163,-0.1563,182,0.15637
ENSG00000228594,FNDC10,67,-0.1091,72,0.10910
ENSG00000272106,AL691432.2,10,-1.9073,40,1.90738
ENSG00000197530,MIB2,20,-0.7825,35,0.78259
ENSG00000189339,SLC35E2B,15,-1.0646,31,1.06464
ENSG00000215790,SLC35E2A,10,-0.9658,20,0.96586
ENSG00000008130,NADK,28,-0.0254,29,0.02549
ENSG00000078369,GNB1,289,-0.5386,419,0.53863
ENSG00000187730,GABRD,3,-3.5041,39,3.50419
ENSG00000067606,PRKCZ,80,-0.9592,156,0.95921
ENSG00000162585,FAAP20,56,-0.3940,74,0.39403
ENSG00000157933,SKI,9,-2.0772,38,2.07723
ENSG00000157916,RER1,137,0.75376,81,-0.7537
ENSG00000157911,PEX10,45,0.55831,31,-0.5583
ENSG00000149527,PLCH2,0,-6.6860,16,6.68604
ENSG00000157881,PANK4,4,-2.0279,19,2.02795
ENSG00000197921,HES5,19,-2.3050,95,2.30505
ENSG00000272449,AL139246.5,13,-1.1630,29,1.16307
ENSG00000157870,PRXL2B,39,-0.6512,62,0.65124
ENSG00000158109,TPRG1L,131,-0.2027,150,0.20275
ENSG00000116213,WRAP73,9,-0.7501,16,0.75014
ENSG00000130764,LRRC47,60,-0.7512,102,0.75122
ENSG00000116198,CEP104,7,-1.5302,22,1.53026
ENSG00000198912,C1orf174,21,0.25838,18,-0.2583
ENSG00000196581,AJAP1,5,-2.4458,28,2.44585
ENSG00000069424,KCNAB2,51,-0.6197,78,0.61979
ENSG00000116254,CHD5,50,-1.1337,111,1.13375
ENSG00000116251,RPL22,377,-0.3526,481,0.35267
ENSG00000116237,ICMT,52,0.07800,49,-0.0780
ENSG00000097021,ACOT7,292,-0.0552,304,0.05527
ENSG00000162408,NOL9,24,-0.6389,38,0.63891
