,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1,,X,,,,,,,X,X,X,,,X
cluster 2,,,,,,,,,,,X,,,
cluster 3,,X,,,,,,,,,,,,
cluster 4,,X,,,,,,,,,,,,
cluster 5,,X,,,,X,,,,,X,,,
cluster 6,X,X,,,,,,,,,,,,
cluster 7,,,,,,,X,,,,,,,
cluster 8,X,X,,,,,,,,,,,,
cluster 9,,X,,,,,X,,,,,,,
cluster 10,,X,,,,,,,,,,,,
cluster 11,,X,,,,,,X,,,,,X,
cluster 12,,,,,,,,,,,,,,
cluster 13,,,,,,,,,,,,,,
cluster 14,,,,,,,,,,,,,,
cluster 15,,,,,,,,,,,,,,
cluster 16,,,,,,,,,,,,,,
cluster 17,,,,,,,,,,,,,,
cluster 18,,,,,,,,,,,,,,
cluster 19,,,,,,,,,,,,,,
