,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1,1,0,1,1,1,1,1,1,0,0,0.03,0.99,0.41,0
cluster 2,1,1,1,1,1,0.41,1,1,1,1,0.01,1,1,1
cluster 3,1,0,1,1,1,1,1,1,0.06,1,0.41,1,0.82,0.68
cluster 4,0.72,0,1,1,1,1,1,1,1,1,1,1,1,0.72
cluster 5,1,0,1,1,1,0,1,1,0.78,0.14,0.05,1,1,1
cluster 6,0,0,1,1,1,0.46,1,1,1,1,0.91,1,0.77,0.18
cluster 7,0.8,0.39,0.74,0.7,1,1,0,1,1,0.95,1,1,1,1
cluster 8,0,0.01,0.24,1,1,0.52,0.74,1,1,1,1,1,1,1
cluster 9,0.13,0.02,1,1,1,1,0.02,0.94,1,1,1,1,1,1
cluster 10,0.35,0,1,1,1,1,1,1,1,1,1,1,1,1
cluster 11,0.46,0,1,1,1,1,0.17,0,1,0.05,0.8,1,0,1
cluster 12,1,1,0.74,0.93,1,0.23,1,1,1,0.68,0.7,1,1,1
cluster 13,1,1,1,1,1,1,1,1,1,1,1,1,0.87,0.24
cluster 14,0.72,0.52,1,1,1,1,1,NA,1,1,1,1,0.74,1
cluster 15,1,0.76,0.41,1,1,1,1,1,1,1,0.7,1,0.74,0.78
cluster 16,1,0.39,1,1,1,1,1,NA,1,1,0.7,1,NA,1
cluster 17,1,0.74,1,1,0.78,1,0.81,1,1,0.93,1,1,1,0.44
cluster 18,1,NA,1,1,1,1,1,NA,1,1,1,1,1,NA
cluster 19,1,1,1,1,1,1,1,NA,1,1,1,1,NA,0.88
