,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1,,X,X,,,,,X,,,X,,X,,
cluster 2,,,,,,X,,X,,X,,,X,,
cluster 3,,,X,,,,,X,,,,,X,,
cluster 4,,X,X,,,X,,X,,,,,,,
cluster 5,,,,,,,,X,,,,,X,,
cluster 6,,,X,,,X,,X,,,,X,X,,
cluster 7,,,,,,,,X,,X,,,,,
cluster 8,,,,,,X,,,,,X,,,,
cluster 9,,X,,,,X,,X,,X,X,,X,,
cluster 10,,X,,,,,,X,,,,,X,,
cluster 11,,X,,,,X,,X,,X,X,,X,,
cluster 12,,X,X,,,X,,X,,X,,X,X,,
cluster 13,,,,,,,,,,,,,,,
cluster 14,,X,,,,,,X,,,X,,X,,
cluster 15,,X,X,X,,X,,X,,X,,X,,,
cluster 16,,X,X,,,,,X,,,,X,X,,
cluster 17,,,,,,,,X,,,,,,,
cluster 18,,,,,,,,X,,,,,,,
cluster 19,,,,,,,,,,,,,,,
