,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1,,F > M,F > M,F < M,F < M,,F < M,F > M,F < M,F < M,F > M,,F > M,,
cluster 2,F < M,,,F < M,F < M,F > M,F < M,F > M,F < M,F > M,F < M,,F > M,,F < M
cluster 3,,,F > M,F < M,,,,F > M,,,,,F > M,,
cluster 4,F < M,F > M,F > M,F < M,,F > M,,F > M,F < M,,,,,,F < M
cluster 5,F < M,,,,F < M,,,F > M,,,,,F > M,,
cluster 6,,,F > M,F < M,F < M,F > M,,F > M,F < M,F < M,,F > M,F > M,F < M,F < M
cluster 7,F < M,,,,F < M,,,F > M,F < M,F > M,F < M,,,F < M,F < M
cluster 8,F < M,,,,F < M,F > M,,,,,F > M,,,F < M,
cluster 9,,F > M,,,,F > M,,F > M,F < M,F > M,F > M,,F > M,,
cluster 10,F < M,F > M,,F < M,F < M,,,F > M,F < M,,,,F > M,,F < M
cluster 11,,F > M,,,,F > M,,F > M,F < M,F > M,F > M,,F > M,,
cluster 12,F < M,F > M,F > M,F < M,F < M,F > M,F < M,F > M,F < M,F > M,F < M,F > M,F > M,F < M,F < M
cluster 13,,,,F < M,,,,,,,,,,,
cluster 14,,F > M,,,,,,F > M,F < M,,F > M,,F > M,,F < M
cluster 15,F < M,F > M,F > M,F > M,F < M,F > M,F < M,F > M,F < M,F > M,,F > M,,F < M,F < M
cluster 16,F < M,F > M,F > M,F < M,F < M,,F < M,F > M,F < M,,F < M,F > M,F > M,,F < M
cluster 17,,,,F < M,,,F < M,F > M,F < M,,,,F < M,,
cluster 18,,,,,,,,F > M,,,,,,,
cluster 19,,,,,,,,,,,,,,,
